#contig	Length	BeeP-07-2013_filtered.bam	BeeP-19-2013_filtered.bam	BeeP-02-2013_filtered.bam	BeeP-30-2013_filtered.bam	BeeP-10-2013_filtered.bam	BeeP-12-2013_filtered.bam	BeeP-20-2013_filtered.bam	BeeP-01-2013_filtered.bam	BeeP-27-2013_filtered.bam	BeeP-28-2013_filtered.bam	BeeP-08-2013_filtered.bam	BeeP-06-2013_filtered.bam	BeeP-24-2013_filtered.bam	BeeP-09-2013_filtered.bam	BeeP-33-2013_filtered.bam	BeeP-26-2013_filtered.bam	BeeP-29-2013_filtered.bam	BeeP-31-2013_filtered.bam	BeeP-04-2013_filtered.bam	BeeP-03-2013_filtered.bam	BeeP-14-2013_filtered.bam	BeeP-21-2013_filtered.bam	BeeP-36-2013_filtered.bam	BeeP-05-2013_filtered.bam	BeeP-22-2013_filtered.bam	BeeP-15-2013_filtered.bam	BeeP-18-2013_filtered.bam	BeeP-16-2013_filtered.bam	BeeP-32-2013_filtered.bam	BeeP-23-2013_filtered.bam	BeeP-13-2013_filtered.bam	BeeP-34-2013_filtered.bam	BeeP-37-2013_filtered.bam	BeeP-39-2013_filtered.bam	BeeP-25-2013_filtered.bam	BeeP-40-2013_filtered.bam	BeeP-35-2013_filtered.bam	BeeP-41-2013_filtered.bam	BP11_filtered.bam	BP12_filtered.bam	BeeP-42-2013_filtered.bam	BP17_filtered.bam	BP20_filtered.bam	BP18_filtered.bam	BP22_filtered.bam	BeeP-50-2013_filtered.bam	BeeP-Q1-2013_filtered.bam	BP29_filtered.bam	BP26_filtered.bam	BP19_filtered.bam	BP27_filtered.bam	BP28_filtered.bam	BP10_filtered.bam	BP25_filtered.bam	BP30_filtered.bam	BP24_filtered.bam	BP35_filtered.bam	BeeP-38-2013_filtered.bam	BP34_filtered.bam	BeeP-43-2013_filtered.bam	BP31_filtered.bam	BP39_filtered.bam	BP36_filtered.bam	BP38_filtered.bam	BeeP-47-2013_filtered.bam	BP21_filtered.bam	BeeP-Q2-2013_filtered.bam	BeeP-45-2013_filtered.bam	BeeP-46-2013_filtered.bam	BP45_filtered.bam	BP37_filtered.bam	BP43_filtered.bam	BP47_filtered.bam	BeeP-44-2013_filtered.bam	BP44_filtered.bam	BP42_filtered.bam	BP13_filtered.bam	BeeP-48-2013_filtered.bam	BP48_filtered.bam	BP40_filtered.bam	BP41_filtered.bam	BP46_filtered.bam	BP33_filtered.bam	BP16_filtered.bam	BeeP-49-2013_filtered.bam	BP4_filtered.bam	BP9_filtered.bam	BP1_filtered.bam	BP49_filtered.bam	BeeP-17-2013_filtered.bam	BP14_filtered.bam	BP32_filtered.bam	BP2_filtered.bam	BP5_filtered.bam	BP23_filtered.bam	BP8_filtered.bam	BP15_filtered.bam	BP6_filtered.bam	BeeP-11-2013_filtered.bam	BP7_filtered.bam	BP3_filtered.bam	BP50_filtered.bam
BP49_NODE_13_length_7050_cov_0_714966	7050	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	674.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BP49_NODE_17_length_6293_cov_5_658296	6293	0.0000	15.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0000	16.0000	4.0000	1.0000	45.0000	0.0000	4.0000	0.0000	2.0000	9.0000	0.0000	0.0000	0.0000	2.0000	2.0000	0.0000	513.0000	2.0000	0.0000	9.0000	40.0000	15.0000	0.0000	0.0000	1.0000	52.0000	31.0000	25.0000	0.0000	195.0000	2.0000	1.0000	23.0000	0.0000	12.0000	111.0000	3.0000	0.0000	0.0000	0.0000	66.0000	2.0000	17.0000	24.0000	0.0000	157.0000	3.0000	3.0000	41.0000	0.0000	9.0000	1.0000	25.0000	0.0000	0.0000	0.0000	0.0000	23.0000	0.0000	0.0000	5.0000	0.0000	10.0000	3.0000	1.0000	0.0000	8.0000	0.0000	0.0000	0.0000	7.0000	3.0000	0.0000	1.0000	5.0000	12.0000	0.0000	58.0000	18.0000	2.0000	40.0000	4388.0000	25.0000	0.0000	0.0000	0.0000	0.0000	186.0000	0.0000	0.0000	0.0000	554.0000	0.0000	11.0000	9.0000
BP49_NODE_18_length_5682_cov_0_944974	5682	0.0000	0.0000	14.0000	0.0000	14.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.0000	2.0000	10.0000	0.0000	4.0000	2.0000	0.0000	0.0000	0.0000	0.0000	6.0000	0.0000	0.0000	2.0000	0.0000	0.0000	96.0000	3.0000	0.0000	0.0000	0.0000	3.0000	8.0000	8.0000	35.0000	2.0000	32.0000	0.0000	0.0000	0.0000	0.0000	3.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.0000	4.0000	0.0000	48.0000	4.0000	0.0000	2.0000	2.0000	0.0000	0.0000	1.0000	71.0000	0.0000	0.0000	0.0000	204.0000	0.0000	0.0000	0.0000	0.0000	3.0000	4.0000	1.0000	0.0000	4.0000	1.0000	0.0000	0.0000	17.0000	0.0000	0.0000	5.0000	303.0000	6.0000	0.0000	4.0000	0.0000	2.0000	5.0000	758.0000	2.0000	5.0000	1.0000	0.0000	0.0000	8.0000	0.0000	5.0000	0.0000	10.0000	0.0000	6.0000	8.0000
BP49_NODE_19_length_5667_cov_0_793725	5667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.0000	0.0000	29.0000	0.0000	0.0000	0.0000	0.0000	0.0000	95.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.0000	0.0000	0.0000	0.0000	0.0000	2.0000	0.0000	6.0000	0.0000	9.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.0000	0.0000	0.0000	631.0000	1.0000	0.0000	0.0000	0.0000	0.0000	19.0000	0.0000	0.0000	0.0000	2.0000	0.0000	0.0000	0.0000
BP49_NODE_20_length_5591_cov_0_722121	5591	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	18.0000	0.0000	0.0000	0.0000	0.0000	0.0000	21.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.0000	0.0000	2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.0000	0.0000	0.0000	550.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BP49_NODE_22_length_5096_cov_7_091457	5096	0.0000	10.0000	0.0000	0.0000	3.0000	0.0000	0.0000	0.0000	28.0000	10.0000	5.0000	24.0000	0.0000	0.0000	1.0000	2.0000	0.0000	0.0000	0.0000	0.0000	14.0000	0.0000	0.0000	155.0000	0.0000	0.0000	1.0000	11.0000	8.0000	0.0000	0.0000	0.0000	0.0000	10.0000	37.0000	0.0000	89.0000	0.0000	1.0000	0.0000	0.0000	5.0000	49.0000	2.0000	0.0000	0.0000	0.0000	91.0000	1.0000	7.0000	0.0000	0.0000	51.0000	33.0000	2.0000	13.0000	2.0000	0.0000	0.0000	4.0000	11.0000	0.0000	0.0000	0.0000	35.0000	0.0000	0.0000	1.0000	0.0000	4.0000	0.0000	0.0000	0.0000	14.0000	0.0000	0.0000	0.0000	10.0000	2.0000	0.0000	4.0000	11.0000	3.0000	0.0000	41.0000	10.0000	0.0000	93.0000	5099.0000	10.0000	0.0000	43.0000	0.0000	1.0000	35.0000	0.0000	0.0000	0.0000	121.0000	0.0000	0.0000	13.0000
BP49_NODE_26_length_4749_cov_1_444685	4749	340.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	151.0000	43.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	11.0000	86.0000	8.0000	0.0000	0.0000	0.0000	0.0000	101.0000	0.0000	27.0000	0.0000	0.0000	0.0000	46.0000	2221.0000	30.0000	0.0000	2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	11.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	8.0000	350.0000	0.0000	0.0000	388.0000	8.0000	12.0000	3.0000	1.0000	1561.0000	937.0000	363.0000	0.0000	5143.0000	39.0000	0.0000	0.0000	2.0000	0.0000	0.0000	0.0000	0.0000	70535.0000	673.0000
BP49_NODE_28_length_4633_cov_1_210106	4633	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	767.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BP49_NODE_29_length_4608_cov_0_782483	4608	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	42.0000	0.0000	0.0000	0.0000	250.0000	0.0000	0.0000	0.0000	0.0000	0.0000	12.0000	2.0000	19.0000	0.0000	0.0000	56.0000	14.0000	0.0000	0.0000	0.0000	0.0000	102.0000	27.0000	0.0000	0.0000	0.0000	20.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.0000	0.0000	0.0000	29.0000	0.0000	0.0000	0.0000	16.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	465.0000	20.0000	0.0000	2.0000	0.0000	0.0000	0.0000	16.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BP49_NODE_39_length_3621_cov_1_270000	3621	2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	113.0000	0.0000	0.0000	0.0000	0.0000	4.0000	21.0000	0.0000	0.0000	0.0000	0.0000	25.0000	0.0000	0.0000	15.0000	0.0000	0.0000	6.0000	17.0000	0.0000	0.0000	4.0000	0.0000	0.0000	0.0000	8.0000	0.0000	8.0000	36.0000	0.0000	0.0000	22.0000	12.0000	4.0000	0.0000	9.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	19.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	37.0000	1.0000	13.0000	6.0000	0.0000	4.0000	0.0000	0.0000	0.0000	0.0000	44.0000	692.0000	15.0000	0.0000	21.0000	2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	41.0000
BP49_NODE_52_length_3011_cov_0_675779	3011	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	260.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BP49_NODE_53_length_2982_cov_0_599091	2982	20.0000	2.0000	7.0000	2.0000	47.0000	4.0000	0.0000	0.0000	34.0000	0.0000	322.0000	262.0000	12.0000	6.0000	2.0000	17.0000	0.0000	0.0000	0.0000	2.0000	2.0000	54.0000	0.0000	2692.0000	2.0000	8.0000	264.0000	299.0000	248.0000	4.0000	16.0000	152.0000	45.0000	83.0000	5632.0000	21.0000	176.0000	16.0000	8.0000	1.0000	9.0000	60.0000	0.0000	112.0000	0.0000	4.0000	49.0000	6.0000	0.0000	309.0000	0.0000	0.0000	590.0000	6.0000	0.0000	575.0000	0.0000	222.0000	2.0000	18.0000	7.0000	0.0000	0.0000	3.0000	314.0000	0.0000	0.0000	2073.0000	0.0000	15.0000	8.0000	6.0000	0.0000	69.0000	5.0000	0.0000	4.0000	184.0000	17.0000	6.0000	51.0000	2.0000	0.0000	0.0000	1275.0000	5.0000	17.0000	136.0000	183.0000	329.0000	0.0000	0.0000	124.0000	2.0000	1570.0000	4.0000	6.0000	0.0000	2927.0000	0.0000	86.0000	566.0000
BP49_NODE_61_length_2679_cov_0_581314	2679	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	231.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BP49_NODE_67_length_2581_cov_2_686585	2581	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	969.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BP49_NODE_69_length_2545_cov_1_295792	2545	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	3.0000	0.0000	0.0000	4.0000	1.0000	3.0000	0.0000	0.0000	10.0000	0.0000	0.0000	8.0000	0.0000	71.0000	5.0000	0.0000	0.0000	2.0000	0.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	10.0000	11.0000	0.0000	0.0000	4.0000	4.0000	0.0000	41.0000	0.0000	0.0000	0.0000	0.0000	7.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	144.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0000	19.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	150.0000	20.0000	0.0000	0.0000	0.0000	0.0000	1.0000	410.0000	2.0000	0.0000	0.0000	0.0000	0.0000	4.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	24.0000
BP49_NODE_71_length_2515_cov_1_458647	2515	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	12.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	13.0000	0.0000	8.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.0000	0.0000	0.0000	493.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BP49_NODE_74_length_2493_cov_0_750843	2493	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	244.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BP49_NODE_80_length_2386_cov_0_604415	2386	0.0000	0.0000	0.0000	0.0000	19.0000	3.0000	0.0000	0.0000	0.0000	0.0000	6.0000	42.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	56.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.0000	0.0000	0.0000	8.0000	0.0000	2.0000	0.0000	46.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.0000	0.0000	2.0000	0.0000	4.0000	108.0000	0.0000	0.0000	0.0000	0.0000	54.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	19.0000	0.0000	12.0000	3.0000	0.0000	0.0000	0.0000	0.0000	9.0000	202.0000	0.0000	0.0000	0.0000	10.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.0000
BP49_NODE_87_length_2223_cov_0_771170	2223	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	234.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BP49_NODE_94_length_2136_cov_1_065509	2136	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.0000	0.0000	0.0000	5.0000	7.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	69.0000	0.0000	4.0000	0.0000	4.0000	0.0000	0.0000	0.0000	2.0000	0.0000	0.0000	4.0000	0.0000	57.0000	0.0000	0.0000	51.0000	0.0000	0.0000	22.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	18.0000	0.0000	0.0000	0.0000	10.0000	0.0000	3.0000	7.0000	0.0000	2.0000	0.0000	0.0000	0.0000	2.0000	39.0000	23.0000	0.0000	3.0000	0.0000	0.0000	3.0000	285.0000	0.0000	0.0000	0.0000	5.0000	0.0000	2.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	39.0000
BP49_NODE_98_length_2070_cov_0_956388	2070	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	249.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BP49_NODE_113_length_1960_cov_0_666667	1960	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	163.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BP49_NODE_115_length_1957_cov_0_443355	1957	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	122.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
