,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
1033,BeeP-37-2013_NODE_1410_length_592_cov_3_563107,Unassigned,Unassigned,Unassigned,659_0,Clustered,2,VC_659_0,2,1.0,1.0,1.0,1,1,1,1.0
1034,BeeP-37-2013_NODE_144_length_2085_cov_6_657371,Unassigned,Unassigned,Unassigned,355_0,Clustered,4,VC_355_0,4,0.554,0.9803957,0.5431,1,1,1,1.0
1035,BeeP-37-2013_NODE_1598_length_561_cov_4_016529,Unassigned,Unassigned,Unassigned,350_0,Clustered,3,VC_350_0,3,1.0,0.0,0.0,1,1,1,1.0
1036,BeeP-37-2013_NODE_163_length_1940_cov_10_728932,Unassigned,Unassigned,Unassigned,50_0,Clustered,5,VC_50_0,5,0.1352,0.99360678,0.1343,1,1,1,1.0
1037,BeeP-37-2013_NODE_167_length_1909_cov_10_145742,Unassigned,Unassigned,Unassigned,139_0,Clustered,3,VC_139_0,3,0.211,0.8284983,0.1748,1,1,1,1.0
1038,BeeP-37-2013_NODE_171_length_1884_cov_7_058107,Unassigned,Unassigned,Unassigned,660_0,Clustered,2,VC_660_0,2,1.0,1.0,1.0,1,1,1,1.0
1039,BeeP-37-2013_NODE_17_length_7689_cov_29_869679,Unassigned,Unassigned,Unassigned,213_0,Clustered,11,VC_213_0,11,0.4619,1.0,0.4619,1,2,2,1.0
1040,BeeP-37-2013_NODE_190_length_1781_cov_3_105634,Unassigned,Unassigned,Unassigned,594_0,Clustered,2,VC_594_0,2,1.0,1.0,1.0,1,1,1,1.0
1041,BeeP-37-2013_NODE_1918_length_519_cov_1_721719,Unassigned,Unassigned,Unassigned,585_0,Clustered,2,VC_585_0,2,1.0,1.0,1.0,1,1,1,1.0
1042,BeeP-37-2013_NODE_194_length_1737_cov_5_934337,Unassigned,Unassigned,Unassigned,661_0,Clustered,2,VC_661_0,2,1.0,1.0,1.0,1,1,1,1.0
1043,BeeP-37-2013_NODE_200_length_1713_cov_6_359413,Unassigned,Unassigned,Unassigned,308_0,Clustered,3,VC_308_0,3,1.0,1.0,1.0,1,1,1,1.0
1044,BeeP-37-2013_NODE_208_length_1672_cov_5_002508,Unassigned,Unassigned,Unassigned,645_0,Clustered,2,VC_645_0,2,1.0,1.0,1.0,1,1,1,1.0
1045,BeeP-37-2013_NODE_21_length_6328_cov_13_938570,Unassigned,Unassigned,Unassigned,135_0,Clustered,5,VC_135_0,5,0.3174,0.585412,0.1858,1,1,1,1.0
1046,BeeP-37-2013_NODE_237_length_1568_cov_2_911469,Unassigned,Unassigned,Unassigned,656_0,Clustered,3,VC_656_0,3,1.0,1.0,1.0,1,1,1,1.0
1047,BeeP-37-2013_NODE_2_length_40678_cov_31_109505,Unassigned,Unassigned,Unassigned,49_1,Clustered,12,VC_49_1,12,0.2944,1.0,0.2944,2,2,2,0.9091
1048,BeeP-37-2013_NODE_320_length_1277_cov_6_728333,Unassigned,Unassigned,Unassigned,649_0,Clustered,2,VC_649_0,2,1.0,1.0,1.0,1,1,1,1.0
1049,BeeP-37-2013_NODE_33_length_5053_cov_27_856712,Unassigned,Unassigned,Unassigned,140_0,Clustered,20,VC_140_0,20,0.6025,1.0,0.6025,1,1,1,1.0
1050,BeeP-37-2013_NODE_383_length_1126_cov_5_987607,Unassigned,Unassigned,Unassigned,592_0,Clustered,2,VC_592_0,2,1.0,1.0,1.0,1,1,1,1.0
1051,BeeP-37-2013_NODE_399_length_1094_cov_7_240905,Unassigned,Unassigned,Unassigned,657_0,Clustered,3,VC_657_0,3,0.5695,0.66873971,0.3809,1,1,1,1.0
1052,BeeP-37-2013_NODE_3_length_29184_cov_45_976294,Unassigned,Unassigned,Unassigned,349_0,Clustered,2,VC_349_0,2,0.5887,0.76024994,0.4475,1,1,1,1.0
1053,BeeP-37-2013_NODE_442_length_1045_cov_5_422521,Unassigned,Unassigned,Unassigned,389_0,Clustered,2,VC_389_0,2,0.5579,0.5,0.279,1,1,1,1.0
1054,BeeP-37-2013_NODE_46_length_4193_cov_9_767979,Unassigned,Unassigned,Unassigned,10_0,Clustered,3,VC_10_0,3,0.1153,0.84996057,0.098,1,1,1,1.0
1055,BeeP-37-2013_NODE_47_length_4141_cov_14_220719,Unassigned,Unassigned,Unassigned,275_0,Clustered,4,VC_275_0,4,0.256,0.92545029,0.2369,1,1,1,1.0
1056,BeeP-37-2013_NODE_486_length_999_cov_4_365510,Unassigned,Unassigned,Unassigned,626_0,Clustered,3,VC_626_0,3,0.6266,0.97657291,0.6119,1,1,1,1.0
1057,BeeP-37-2013_NODE_53_length_3934_cov_15_270936,Unassigned,Unassigned,Unassigned,344_0,Clustered,2,VC_344_0,2,0.6651,0.72985431,0.4854,1,1,1,1.0
1058,BeeP-37-2013_NODE_55_length_3850_cov_9_283859,Unassigned,Unassigned,Unassigned,329_0,Clustered,2,VC_329_0,2,1.0,1.0,1.0,1,1,1,1.0
1059,BeeP-37-2013_NODE_560_length_916_cov_3_251490,Unassigned,Unassigned,Unassigned,651_0,Clustered,2,VC_651_0,2,0.7387,0.5,0.3693,1,1,1,1.0
1060,BeeP-37-2013_NODE_576_length_906_cov_1_811821,Unassigned,Unassigned,Unassigned,398_0,Clustered,2,VC_398_0,2,0.4873,0.86822376,0.4231,1,1,1,1.0
1061,BeeP-37-2013_NODE_57_length_3823_cov_4_324346,Unassigned,Unassigned,Unassigned,319_0,Clustered,2,VC_319_0,2,1.0,1.0,1.0,1,1,1,1.0
1062,BeeP-37-2013_NODE_635_length_848_cov_3_667964,Unassigned,Unassigned,Unassigned,662_0,Clustered,2,VC_662_0,2,1.0,1.0,1.0,1,1,1,1.0
1063,BeeP-37-2013_NODE_643_length_841_cov_6_595550,Unassigned,Unassigned,Unassigned,652_0,Clustered,5,VC_652_0,5,0.8384,0.95931944,0.8043,1,1,1,1.0
1064,BeeP-37-2013_NODE_67_length_3471_cov_4_284915,Unassigned,Unassigned,Unassigned,154_0,Clustered,7,VC_154_0,7,0.1902,0.74027862,0.1408,1,1,1,1.0
1065,BeeP-37-2013_NODE_76_length_3220_cov_9_435253,Unassigned,Unassigned,Unassigned,616_0,Clustered,2,VC_616_0,2,0.3209,0.5,0.1605,1,1,1,1.0
1066,BeeP-37-2013_NODE_797_length_759_cov_5_253666,Unassigned,Unassigned,Unassigned,46_0,Clustered,2,VC_46_0,2,0.2476,0.93003234,0.2302,1,1,1,1.0
1067,BeeP-37-2013_NODE_79_length_3129_cov_6_522936,Unassigned,Unassigned,Unassigned,171_0,Clustered,3,VC_171_0,3,0.192,0.91454824,0.1756,1,1,1,1.0
1068,BeeP-37-2013_NODE_802_length_756_cov_1_920471,Unassigned,Unassigned,Unassigned,405_0,Clustered,3,VC_405_0,3,1.0,1.0,1.0,1,1,1,1.0
1069,BeeP-37-2013_NODE_875_length_724_cov_5_027821,Unassigned,Unassigned,Unassigned,478_0,Clustered,3,VC_478_0,3,0.7163,0.76024994,0.5445,1,1,1,1.0
1070,BeeP-37-2013_NODE_98_length_2753_cov_6_748505,Unassigned,Unassigned,Unassigned,370_0,Clustered,2,VC_370_0,2,0.548,0.72985431,0.4,1,1,1,1.0
1071,BeeP-37-2013_NODE_9_length_10235_cov_11_050896,Unassigned,Unassigned,Unassigned,128_0,Clustered,2,VC_128_0,2,1.0,1.0,1.0,1,1,1,1.0
1072,BeeP-38-2013_NODE_10_length_5804_cov_31_211978,Unassigned,Unassigned,Unassigned,140_0,Clustered,20,VC_140_0,20,0.6025,1.0,0.6025,1,1,1,1.0
1073,BeeP-38-2013_NODE_1_length_47472_cov_756_510180,Unassigned,Unassigned,Unassigned,188_0,Clustered,7,VC_188_0,7,0.3528,1.0,0.3528,1,3,2,0.9048
1074,BeeP-38-2013_NODE_2_length_19588_cov_27_430526,Unassigned,Unassigned,Unassigned,213_0,Clustered,11,VC_213_0,11,0.4619,1.0,0.4619,1,2,2,1.0
1075,BeeP-38-2013_NODE_3_length_17236_cov_13_185209,Unassigned,Unassigned,Unassigned,100_0,Clustered,4,VC_100_0,4,0.4045,0.99934188,0.4042,1,1,1,1.0
1076,BeeP-38-2013_NODE_6_length_7660_cov_6_359356,Unassigned,Unassigned,Unassigned,296_0,Clustered,4,VC_296_0,4,0.222,0.993324,0.2205,1,1,1,1.0
1077,BeeP-38-2013_NODE_8_length_6967_cov_14_342525,Unassigned,Unassigned,Unassigned,141_0,Clustered,4,VC_141_0,4,0.3169,0.99990432,0.3168,1,1,1,1.0
1078,BeeP-39-2013_NODE_11_length_2731_cov_4_241145,Unassigned,Unassigned,Unassigned,139_0,Clustered,3,VC_139_0,3,0.211,0.8284983,0.1748,1,1,1,1.0
1079,BeeP-40-2013_NODE_13_length_4395_cov_13_381427,Unassigned,Unassigned,Unassigned,449_0,Clustered,2,VC_449_0,2,0.1626,0.72985431,0.1187,1,1,1,1.0
1080,BeeP-40-2013_NODE_7_length_8325_cov_15_108632,Unassigned,Unassigned,Unassigned,268_0,Clustered,4,VC_268_0,4,0.1861,0.91067297,0.1695,1,1,1,1.0
1081,BeeP-41-2013_NODE_11_length_1883_cov_5_418605,Unassigned,Unassigned,Unassigned,210_0,Clustered,4,VC_210_0,4,0.3166,0.9104454,0.2883,1,1,1,1.0
1082,BeeP-41-2013_NODE_1_length_8415_cov_13_936076,Unassigned,Unassigned,Unassigned,90_0,Clustered,5,VC_90_0,5,0.448,0.99973695,0.4478,1,1,1,1.0
1083,BeeP-41-2013_NODE_3_length_3510_cov_8_468686,Unassigned,Unassigned,Unassigned,210_0,Clustered,4,VC_210_0,4,0.3166,0.9104454,0.2883,1,1,1,1.0
1084,BeeP-41-2013_NODE_5_length_2723_cov_5_470144,Unassigned,Unassigned,Unassigned,204_0,Clustered,4,VC_204_0,4,0.4063,0.89577513,0.3639,1,1,1,1.0
1085,BeeP-43-2013_NODE_2_length_4729_cov_13_984308,Unassigned,Unassigned,Unassigned,284_0,Clustered,13,VC_284_0,13,0.8242,1.0,0.8242,3,2,1,1.0
1086,BeeP-44-2013_NODE_1175_length_525_cov_1_122768,Unassigned,Unassigned,Unassigned,276_0,Clustered,9,VC_276_0,9,1.0,1.0,1.0,1,1,1,1.0
1087,BeeP-44-2013_NODE_125_length_1753_cov_8_683174,Unassigned,Unassigned,Unassigned,133_0,Clustered,12,VC_133_0,12,0.3846,1.0,0.3846,1,1,1,1.0
1088,BeeP-44-2013_NODE_1312_length_502_cov_2_291765,Unassigned,Unassigned,Unassigned,285_0,Clustered,4,VC_285_0,4,0.2506,0.99999044,0.2506,1,1,1,1.0
1089,BeeP-44-2013_NODE_148_length_1603_cov_2_439712,Unassigned,Unassigned,Unassigned,276_0,Clustered,9,VC_276_0,9,1.0,1.0,1.0,1,1,1,1.0
1090,BeeP-44-2013_NODE_212_length_1363_cov_4_017885,Unassigned,Unassigned,Unassigned,653_0,Clustered,2,VC_653_0,2,0.6565,0.5,0.3283,1,1,1,1.0
1091,BeeP-44-2013_NODE_22_length_3881_cov_6_913249,Unassigned,Unassigned,Unassigned,360_0,Clustered,2,VC_360_0,2,0.8203,0.76024994,0.6236,1,1,1,1.0
1092,BeeP-44-2013_NODE_32_length_3327_cov_7_245231,Unassigned,Unassigned,Unassigned,51_0,Clustered,3,VC_51_0,3,0.0619,0.70299675,0.0435,1,1,1,1.0
1093,BeeP-44-2013_NODE_377_length_931_cov_3_100703,Unassigned,Unassigned,Unassigned,454_0,Clustered,3,VC_454_0,3,0.3999,0.89435023,0.3576,1,2,2,1.0
1094,BeeP-44-2013_NODE_379_length_928_cov_3_954172,Unassigned,Unassigned,Unassigned,664_0,Clustered,2,VC_664_0,2,1.0,1.0,1.0,1,1,1,1.0
1095,BeeP-44-2013_NODE_3_length_9437_cov_20_662714,Unassigned,Unassigned,Unassigned,149_0,Clustered,6,VC_149_0,6,0.637,0.99996109,0.637,1,1,1,1.0
1096,BeeP-44-2013_NODE_44_length_2828_cov_14_051981,Unassigned,Unassigned,Unassigned,161_0,Clustered,2,VC_161_0,2,0.251,0.72985431,0.1832,1,1,1,1.0
1097,BeeP-44-2013_NODE_525_length_782_cov_1_974468,Unassigned,Unassigned,Unassigned,454_0,Clustered,3,VC_454_0,3,0.3999,0.89435023,0.3576,1,2,2,1.0
1098,BeeP-44-2013_NODE_568_length_753_cov_4_511834,Unassigned,Unassigned,Unassigned,285_0,Clustered,4,VC_285_0,4,0.2506,0.99999044,0.2506,1,1,1,1.0
1099,BeeP-44-2013_NODE_65_length_2352_cov_5_299780,Unassigned,Unassigned,Unassigned,506_0,Clustered,4,VC_506_0,4,0.8748,0.71814857,0.6282,1,1,1,1.0
1100,BeeP-44-2013_NODE_70_length_2293_cov_15_680505,Unassigned,Unassigned,Unassigned,133_0,Clustered,12,VC_133_0,12,0.3846,1.0,0.3846,1,1,1,1.0
1101,BeeP-44-2013_NODE_73_length_2220_cov_2_816612,Unassigned,Unassigned,Unassigned,50_0,Clustered,5,VC_50_0,5,0.1352,0.99360678,0.1343,1,1,1,1.0
1102,BeeP-44-2013_NODE_79_length_2150_cov_3_408104,Unassigned,Unassigned,Unassigned,664_0,Clustered,2,VC_664_0,2,1.0,1.0,1.0,1,1,1,1.0
1103,BeeP-44-2013_NODE_8_length_6564_cov_21_420996,Unassigned,Unassigned,Unassigned,202_0,Clustered,3,VC_202_0,3,0.1824,0.7554569,0.1378,1,1,1,1.0
1104,BeeP-44-2013_NODE_96_length_1939_cov_3_972610,Unassigned,Unassigned,Unassigned,501_0,Clustered,2,VC_501_0,2,1.0,1.0,1.0,1,1,1,1.0
1105,BeeP-45-2013_NODE_1_length_31866_cov_26_676051,Unassigned,Unassigned,Unassigned,352_0,Clustered,3,VC_352_0,3,0.4993,0.99682122,0.4977,1,1,1,1.0
1106,BeeP-45-2013_NODE_20_length_3372_cov_2_558725,Unassigned,Unassigned,Unassigned,393_0,Clustered,2,VC_393_0,2,1.0,1.0,1.0,1,1,1,1.0
1107,BeeP-45-2013_NODE_2_length_27560_cov_75_850817,Unassigned,Unassigned,Unassigned,49_1,Clustered,12,VC_49_1,12,0.2944,1.0,0.2944,2,2,2,0.9091
1108,BeeP-45-2013_NODE_30_length_2821_cov_5_446064,Unassigned,Unassigned,Unassigned,191_0,Clustered,4,VC_191_0,4,0.7889,0.81445332,0.6425,1,1,1,1.0
1109,BeeP-45-2013_NODE_31_length_2748_cov_8_258330,Unassigned,Unassigned,Unassigned,360_0,Clustered,2,VC_360_0,2,0.8203,0.76024994,0.6236,1,1,1,1.0
1110,BeeP-45-2013_NODE_36_length_2487_cov_12_212033,Unassigned,Unassigned,Unassigned,191_0,Clustered,4,VC_191_0,4,0.7889,0.81445332,0.6425,1,1,1,1.0
1111,BeeP-45-2013_NODE_43_length_2302_cov_7_641348,Unassigned,Unassigned,Unassigned,133_0,Clustered,12,VC_133_0,12,0.3846,1.0,0.3846,1,1,1,1.0
1112,BeeP-45-2013_NODE_99_length_1298_cov_13_941032,Unassigned,Unassigned,Unassigned,288_0,Clustered,2,VC_288_0,2,0.0962,0.89282869,0.0859,1,1,1,1.0
1113,BeeP-47-2013_NODE_14_length_4062_cov_10_046675,Unassigned,Unassigned,Unassigned,214_0,Clustered,3,VC_214_0,3,0.1714,0.9374283,0.1606,1,1,1,1.0
1114,BeeP-47-2013_NODE_193_length_1086_cov_58_336967,Unassigned,Unassigned,Unassigned,595_0,Clustered,3,VC_595_0,3,0.6667,0.0,0.0,1,1,1,1.0
1115,BeeP-47-2013_NODE_217_length_1030_cov_10_080797,Unassigned,Unassigned,Unassigned,47_0,Clustered,2,VC_47_0,2,0.4562,0.76024994,0.3468,1,1,1,1.0
1116,BeeP-47-2013_NODE_219_length_1028_cov_7_908517,Unassigned,Unassigned,Unassigned,538_0,Clustered,4,VC_538_0,4,0.7219,0.89410081,0.6454,1,1,1,1.0
1117,BeeP-47-2013_NODE_274_length_935_cov_2_862471,Unassigned,Unassigned,Unassigned,662_0,Clustered,2,VC_662_0,2,1.0,1.0,1.0,1,1,1,1.0
1118,BeeP-47-2013_NODE_2_length_14142_cov_93_536438,Unassigned,Unassigned,Unassigned,49_1,Clustered,12,VC_49_1,12,0.2944,1.0,0.2944,2,2,2,0.9091
1119,BeeP-47-2013_NODE_33_length_2906_cov_8_674090,Unassigned,Unassigned,Unassigned,415_0,Clustered,2,VC_415_0,2,0.3298,0.85557782,0.2821,1,1,1,1.0
1120,BeeP-47-2013_NODE_540_length_655_cov_2_148789,Unassigned,Unassigned,Unassigned,563_0,Clustered,2,VC_563_0,2,1.0,1.0,1.0,1,1,1,1.0
1121,BeeP-48-2013_NODE_1_length_60809_cov_188_714631,Unassigned,Unassigned,Unassigned,383_0,Clustered,3,VC_383_0,3,1.0,1.0,1.0,1,1,1,1.0
1122,BeeP-48-2013_NODE_2_length_34162_cov_18_012674,Unassigned,Unassigned,Unassigned,261_0,Clustered,3,VC_261_0,3,0.6851,0.9906832,0.6787,1,1,1,1.0
1123,BeeP-48-2013_NODE_6_length_5391_cov_7_031426,Unassigned,Unassigned,Unassigned,372_0,Clustered,2,VC_372_0,2,1.0,1.0,1.0,1,1,1,1.0
1124,BeeP-49-2013_NODE_107_length_3112_cov_10_485338,Unassigned,Unassigned,Unassigned,415_0,Clustered,2,VC_415_0,2,0.3298,0.85557782,0.2821,1,1,1,1.0
1125,BeeP-49-2013_NODE_113_length_3027_cov_7_774576,Unassigned,Unassigned,Unassigned,412_0,Clustered,3,VC_412_0,3,0.3488,0.97886252,0.3414,1,1,1,1.0
1126,BeeP-49-2013_NODE_118_length_2897_cov_8_412057,Unassigned,Unassigned,Unassigned,140_0,Clustered,20,VC_140_0,20,0.6025,1.0,0.6025,1,1,1,1.0
1127,BeeP-49-2013_NODE_1194_length_702_cov_3_326400,Unassigned,Unassigned,Unassigned,659_0,Clustered,2,VC_659_0,2,1.0,1.0,1.0,1,1,1,1.0
1128,BeeP-49-2013_NODE_125_length_2864_cov_4_489774,Unassigned,Unassigned,Unassigned,665_0,Clustered,3,VC_665_0,3,0.8069,0.5,0.4035,2,2,1,1.0
1129,BeeP-49-2013_NODE_126_length_2862_cov_8_220108,Unassigned,Unassigned,Unassigned,657_0,Clustered,3,VC_657_0,3,0.5695,0.66873971,0.3809,1,1,1,1.0
1130,BeeP-49-2013_NODE_12_length_13086_cov_35_861096,Unassigned,Unassigned,Unassigned,140_0,Clustered,20,VC_140_0,20,0.6025,1.0,0.6025,1,1,1,1.0
1131,BeeP-49-2013_NODE_1377_length_639_cov_6_195730,Unassigned,Unassigned,Unassigned,404_0,Clustered,7,VC_404_0,7,0.8343,0.99999988,0.8343,1,1,1,1.0
1132,BeeP-49-2013_NODE_137_length_2724_cov_8_315074,Unassigned,Unassigned,Unassigned,625_0,Clustered,2,VC_625_0,2,0.3874,0.89640185,0.3473,1,1,1,1.0
1133,BeeP-49-2013_NODE_142_length_2701_cov_11_455030,Unassigned,Unassigned,Unassigned,295_0,Clustered,2,VC_295_0,2,0.3993,0.76024994,0.3035,1,1,1,1.0
1134,BeeP-49-2013_NODE_144_length_2663_cov_6_288476,Unassigned,Unassigned,Unassigned,249_0,Clustered,2,VC_249_0,2,1.0,1.0,1.0,1,1,1,1.0
1135,BeeP-49-2013_NODE_14_length_10811_cov_13_991895,Unassigned,Unassigned,Unassigned,574_0,Clustered,2,VC_574_0,2,0.0623,0.94314813,0.0587,1,1,1,1.0
1136,BeeP-49-2013_NODE_15_length_10495_cov_12_931753,Unassigned,Unassigned,Unassigned,650_0,Clustered,2,VC_650_0,2,0.1044,0.94793863,0.0989,1,1,1,1.0
1137,BeeP-49-2013_NODE_160_length_2464_cov_185_129451,Unassigned,Unassigned,Unassigned,275_0,Clustered,4,VC_275_0,4,0.256,0.92545029,0.2369,1,1,1,1.0
1138,BeeP-49-2013_NODE_162_length_2442_cov_11_301057,Unassigned,Unassigned,Unassigned,506_0,Clustered,4,VC_506_0,4,0.8748,0.71814857,0.6282,1,1,1,1.0
1139,BeeP-49-2013_NODE_1835_length_547_cov_45_840426,Unassigned,Unassigned,Unassigned,666_0,Clustered,2,VC_666_0,2,1.0,1.0,1.0,1,1,1,1.0
1140,BeeP-49-2013_NODE_18_length_8657_cov_38_129487,Unassigned,Unassigned,Unassigned,141_0,Clustered,4,VC_141_0,4,0.3169,0.99990432,0.3168,1,1,1,1.0
1141,BeeP-49-2013_NODE_1905_length_535_cov_6_089520,Unassigned,Unassigned,Unassigned,666_0,Clustered,2,VC_666_0,2,1.0,1.0,1.0,1,1,1,1.0
1142,BeeP-49-2013_NODE_194_length_2139_cov_5_156159,Unassigned,Unassigned,Unassigned,643_0,Clustered,3,VC_643_0,3,1.0,1.0,1.0,1,1,1,1.0
1143,BeeP-49-2013_NODE_1956_length_529_cov_3_269912,Unassigned,Unassigned,Unassigned,634_0,Clustered,2,VC_634_0,2,1.0,1.0,1.0,1,1,1,1.0
1144,BeeP-49-2013_NODE_20_length_8038_cov_16_068333,Unassigned,Unassigned,Unassigned,49_1,Clustered,12,VC_49_1,12,0.2944,1.0,0.2944,2,2,2,0.9091
1145,BeeP-49-2013_NODE_212_length_2058_cov_18_012620,Unassigned,Unassigned,Unassigned,589_0,Clustered,3,VC_589_0,3,0.6669,0.98266941,0.6554,1,1,1,1.0
1146,BeeP-49-2013_NODE_21_length_7817_cov_31_461370,Unassigned,Unassigned,Unassigned,141_0,Clustered,4,VC_141_0,4,0.3169,0.99990432,0.3168,1,1,1,1.0
1147,BeeP-49-2013_NODE_221_length_2009_cov_2_895445,Unassigned,Unassigned,Unassigned,391_0,Clustered,5,VC_391_0,5,0.7834,0.5,0.3917,1,1,1,1.0
1148,BeeP-49-2013_NODE_226_length_1983_cov_42_520986,Unassigned,Unassigned,Unassigned,379_0,Clustered,3,VC_379_0,3,0.3713,0.99225442,0.3685,1,1,1,1.0
1149,BeeP-49-2013_NODE_22_length_7211_cov_9_997617,Unassigned,Unassigned,Unassigned,45_0,Clustered,2,VC_45_0,2,0.1085,0.87796144,0.0952,1,1,1,1.0
1150,BeeP-49-2013_NODE_232_length_1971_cov_12_772967,Unassigned,Unassigned,Unassigned,46_0,Clustered,2,VC_46_0,2,0.2476,0.93003234,0.2302,1,1,1,1.0
1151,BeeP-49-2013_NODE_235_length_1945_cov_5_585653,Unassigned,Unassigned,Unassigned,589_0,Clustered,3,VC_589_0,3,0.6669,0.98266941,0.6554,1,1,1,1.0
1152,BeeP-49-2013_NODE_263_length_1815_cov_2_690449,Unassigned,Unassigned,Unassigned,400_0,Clustered,2,VC_400_0,2,1.0,1.0,1.0,1,1,1,1.0
1153,BeeP-49-2013_NODE_296_length_1730_cov_6_269812,Unassigned,Unassigned,Unassigned,192_0,Clustered,5,VC_192_0,5,0.1169,0.99633119,0.1164,1,1,1,1.0
1154,BeeP-49-2013_NODE_304_length_1709_cov_6_039828,Unassigned,Unassigned,Unassigned,652_0,Clustered,5,VC_652_0,5,0.8384,0.95931944,0.8043,1,1,1,1.0
1155,BeeP-49-2013_NODE_308_length_1698_cov_17_733498,Unassigned,Unassigned,Unassigned,656_0,Clustered,3,VC_656_0,3,1.0,1.0,1.0,1,1,1,1.0
1156,BeeP-49-2013_NODE_32_length_5541_cov_12_024158,Unassigned,Unassigned,Unassigned,646_0,Clustered,2,VC_646_0,2,0.5317,0.85557782,0.4549,1,1,1,1.0
1157,BeeP-49-2013_NODE_371_length_1518_cov_8_174185,Unassigned,Unassigned,Unassigned,72_0,Clustered,5,VC_72_0,5,0.4969,0.99002371,0.4919,1,1,1,1.0
1158,BeeP-49-2013_NODE_389_length_1469_cov_9_131466,Unassigned,Unassigned,Unassigned,661_0,Clustered,2,VC_661_0,2,1.0,1.0,1.0,1,1,1,1.0
1159,BeeP-49-2013_NODE_39_length_5114_cov_13_276951,Unassigned,Unassigned,Unassigned,154_0,Clustered,7,VC_154_0,7,0.1902,0.74027862,0.1408,1,1,1,1.0
1160,BeeP-49-2013_NODE_3_length_24640_cov_32_121524,Unassigned,Unassigned,Unassigned,145_0,Clustered,5,VC_145_0,5,0.2978,0.99999988,0.2978,1,1,1,1.0
1161,BeeP-49-2013_NODE_406_length_1443_cov_4_865300,Unassigned,Unassigned,Unassigned,603_0,Clustered,3,VC_603_0,3,0.3287,0.90893883,0.2987,1,1,1,1.0
1162,BeeP-49-2013_NODE_436_length_1376_cov_3_301771,Unassigned,Unassigned,Unassigned,603_0,Clustered,3,VC_603_0,3,0.3287,0.90893883,0.2987,1,1,1,1.0
1163,BeeP-49-2013_NODE_46_length_4568_cov_7_926965,Unassigned,Unassigned,Unassigned,101_0,Clustered,3,VC_101_0,3,0.3483,0.99453921,0.3464,1,1,1,1.0
1164,BeeP-49-2013_NODE_482_length_1287_cov_6_541322,Unassigned,Unassigned,Unassigned,413_0,Clustered,3,VC_413_0,3,0.6914,0.9595722,0.6635,1,1,1,1.0
1165,BeeP-49-2013_NODE_4_length_20091_cov_28_633107,Unassigned,Unassigned,Unassigned,100_0,Clustered,4,VC_100_0,4,0.4045,0.99934188,0.4042,1,1,1,1.0
1166,BeeP-49-2013_NODE_50_length_4447_cov_11_230206,Unassigned,Unassigned,Unassigned,50_0,Clustered,5,VC_50_0,5,0.1352,0.99360678,0.1343,1,1,1,1.0
1167,BeeP-49-2013_NODE_585_length_1132_cov_4_295735,Unassigned,Unassigned,Unassigned,397_0,Clustered,2,VC_397_0,2,0.056,0.71893263,0.0403,1,1,1,1.0
1168,BeeP-49-2013_NODE_59_length_4134_cov_11_299729,Unassigned,Unassigned,Unassigned,652_0,Clustered,5,VC_652_0,5,0.8384,0.95931944,0.8043,1,1,1,1.0
1169,BeeP-49-2013_NODE_68_length_3917_cov_6_621615,Unassigned,Unassigned,Unassigned,192_0,Clustered,5,VC_192_0,5,0.1169,0.99633119,0.1164,1,1,1,1.0
1170,BeeP-49-2013_NODE_73_length_3767_cov_15_442276,Unassigned,Unassigned,Unassigned,660_0,Clustered,2,VC_660_0,2,1.0,1.0,1.0,1,1,1,1.0
1171,BeeP-49-2013_NODE_757_length_957_cov_2_734091,Unassigned,Unassigned,Unassigned,422_0,Clustered,2,VC_422_0,2,1.0,1.0,1.0,1,1,1,1.0
1172,BeeP-49-2013_NODE_776_length_945_cov_2_940092,Unassigned,Unassigned,Unassigned,408_0,Clustered,2,VC_408_0,2,0.1534,0.8335392,0.1278,1,1,1,1.0
1173,BeeP-49-2013_NODE_78_length_3713_cov_9_408416,Unassigned,Unassigned,Unassigned,53_0,Clustered,3,VC_53_0,3,0.1621,0.97558655,0.1582,1,1,1,1.0
1174,BeeP-49-2013_NODE_794_length_926_cov_6_000000,Unassigned,Unassigned,Unassigned,404_0,Clustered,7,VC_404_0,7,0.8343,0.99999988,0.8343,1,1,1,1.0
1175,BeeP-49-2013_NODE_7_length_16289_cov_58_100234,Unassigned,Unassigned,Unassigned,213_0,Clustered,11,VC_213_0,11,0.4619,1.0,0.4619,1,2,2,1.0
1176,BeeP-49-2013_NODE_93_length_3440_cov_5_708594,Unassigned,Unassigned,Unassigned,171_0,Clustered,3,VC_171_0,3,0.192,0.91454824,0.1756,1,1,1,1.0
1177,BeeP-49-2013_NODE_95_length_3382_cov_15_788805,Unassigned,Unassigned,Unassigned,643_0,Clustered,3,VC_643_0,3,1.0,1.0,1.0,1,1,1,1.0
1178,BeeP-49-2013_NODE_972_length_797_cov_4_690278,Unassigned,Unassigned,Unassigned,613_0,Clustered,2,VC_613_0,2,1.0,1.0,1.0,1,1,1,1.0
1179,BeeP-49-2013_NODE_99_length_3311_cov_12_618738,Unassigned,Unassigned,Unassigned,596_0,Clustered,2,VC_596_0,2,0.5189,0.72985431,0.3787,1,1,1,1.0
