,Length,LogLength,Numgene,numVOG,numVOG3,pVOG/ORF,VQ3,ID,const,Virusness
BP46_NODE_234_length_1111_cov_0_694949,1111,3.0457140589408676,4,2,3,0.5,0.75,Virsort,Lin,0.5338394924500001
BP46_NODE_25_length_3331_cov_1_619626,3331,3.522574632691177,6,4,4,0.67,0.67,Virsort,Lin,0.69189663765
BP46_NODE_28_length_3088_cov_1_130772,3088,3.4896772916636984,4,2,3,0.5,0.75,Diamond,Lin,0.9591332290000001
BP46_NODE_29_length_3047_cov_2_180109,3047,3.4838724542226736,6,4,5,0.67,0.83,Virsort,Lin,0.946706172975
BP46_NODE_32_length_2825_cov_0_526997,2825,3.4510184521554574,8,3,3,0.38,0.38,Virsort,Lin,1.0
BP46_NODE_33_length_2810_cov_2_659725,2810,3.44870631990508,7,3,3,0.43,0.43,Virsort,Lin,0.5206762145
BP46_NODE_35_length_2730_cov_0_451514,2730,3.436162647040756,3,3,3,1.0,1.0,Virsort,Lin,0.6369522005499999
BP46_NODE_42_length_2568_cov_1_828361,2568,3.4095950193968156,5,4,4,0.8,0.8,Virsort,Lin,0.355996472325
BP46_NODE_438_length_733_cov_0_169935,733,2.8651039746411278,1,1,1,1.0,1.0,Diamond,Lin,0.2567714889
BP46_NODE_45_length_2414_cov_0_375491,2414,3.3827372657613304,8,1,1,0.12,0.12,Virsort,Lin,0.9736015754
BP46_NODE_46_length_2413_cov_0_876527,2413,3.3825573219087857,9,1,1,0.11,0.11,Virsort,Lin,0.0
BP46_NODE_47_length_2373_cov_1_864121,2373,3.375297738217339,4,3,3,0.75,0.75,Virsort,Lin,0.6913261626333332
BP46_NODE_4_length_7839_cov_1_018269,7839,3.894260664446988,18,4,6,0.22,0.33,Virsort,Lin,0.7891726883
BP46_NODE_56_length_2283_cov_0_437095,2283,3.3585059114902354,2,1,2,0.5,1.0,Virsort,Lin,0.25109467010000003
BP46_NODE_599_length_616_cov_0_202020,616,2.7895807121644256,3,1,1,0.33,0.33,Virsort,Lin,0.0
BP46_NODE_5_length_7786_cov_3_526810,7786,3.891314399382143,12,6,8,0.5,0.67,Virsort,Lin,0.5733958102666666
BP46_NODE_65_length_2142_cov_0_628402,2142,3.330819466495837,2,2,2,1.0,1.0,Diamond,Lin,0.6501216289
BP46_NODE_680_length_573_cov_0_672566,573,2.75815462196739,1,1,1,1.0,1.0,Diamond,Lin,1.0
BP46_NODE_72_length_2055_cov_0_770424,2055,3.312811826212088,3,2,2,0.67,0.67,Virsort,Lin,0.7059987343999999
BP46_NODE_741_length_544_cov_0_196217,544,2.73559889969818,1,1,1,1.0,1.0,Diamond,Lin,1.0
BP46_NODE_76_length_2031_cov_0_501047,2031,3.307709923404807,6,4,4,0.67,0.67,Virsort,Lin,0.0094529277
BP46_NODE_771_length_528_cov_0_336609,528,2.722633922533812,1,1,1,1.0,1.0,Diamond,Lin,0.5946263472
BP46_NODE_78_length_2008_cov_1_072602,2008,3.3027637084729817,4,2,2,0.5,0.5,Virsort,Lin,0.8409794141
BP46_NODE_847_length_501_cov_0_313158,501,2.699837725867246,2,1,1,0.5,0.5,Diamond,Lin,1.0
BP46_NODE_84_length_1946_cov_2_669041,1946,3.289142835932333,5,1,2,0.2,0.4,Virsort,Lin,0.09588456810000001
BP46_NODE_9_length_5932_cov_1_514713,5932,3.7732011423563443,13,3,4,0.23,0.31,Virsort,Lin,0.3369221035
BP47_NODE_10_length_2006_cov_0_446154,2006,3.302330928684399,4,2,3,0.5,0.75,Virsort,Lin,0.7933072701
BP47_NODE_14_length_1700_cov_0_587080,1700,3.230448921378274,4,3,3,0.75,0.75,Virsort,Lin,0.6913261626333332
BP48_NODE_11_length_4828_cov_1_932016,4828,3.6837672614253116,4,3,3,0.75,0.75,Virsort,Lin,0.62238164325
BP48_NODE_13_length_4731_cov_1_382863,4731,3.674952948048565,5,2,4,0.4,0.8,Virsort,Lin,0.8906215544
BP48_NODE_14_length_4727_cov_3_351498,4727,3.6745856023029138,10,0,0,0.0,0.0,Virsort,Lin,0.0
BP48_NODE_17_length_3629_cov_1_165051,3629,3.5597869682005565,8,4,5,0.5,0.62,Virsort,Lin,0.728661837125
BP48_NODE_1_length_11486_cov_2_240915,11486,4.060168811945148,16,13,13,0.81,0.81,Virsort,Lin,0.7923409220777778
BP48_NODE_3_length_8991_cov_2_700000,8991,3.953807997665307,7,4,4,0.57,0.57,Virsort,Lin,0.97317493265
BP48_NODE_5_length_6456_cov_1_705762,6456,3.809963521714014,10,2,2,0.2,0.2,Virsort,Lin,0.8202206465499999
BP48_NODE_6_length_5493_cov_2_112621,5493,3.739809599021359,10,6,6,0.6,0.6,Virsort,Lin,0.7836169273666668
BP48_NODE_70_length_1318_cov_0_526316,1318,3.119915410257991,2,2,2,1.0,1.0,Diamond,Lin,0.64525763365
BP48_NODE_7_length_5489_cov_1_330663,5489,3.739493230781615,15,6,7,0.4,0.47,Virsort,Lin,0.7442085591600001
BP49_NODE_1001_length_524_cov_0_186104,524,2.7193312869837265,2,1,1,0.5,0.5,Diamond,Lin,1.0
BP49_NODE_1042_length_513_cov_0_081633,513,2.7101173651118162,1,1,1,1.0,1.0,Diamond,Lin,0.0
BP49_NODE_1063_length_507_cov_0_575130,507,2.705007959333336,1,1,1,1.0,1.0,Diamond,Lin,0.0
BP49_NODE_1072_length_505_cov_0_427083,505,2.7032913781186614,1,1,1,1.0,1.0,Diamond,Lin,1.0
BP49_NODE_1080_length_504_cov_0_227154,504,2.7024305364455254,1,1,1,1.0,1.0,Diamond,Lin,1.0
BP49_NODE_113_length_1960_cov_0_666667,1960,3.292256071356476,2,2,2,1.0,1.0,Diamond,Lin,0.25656216775
BP49_NODE_115_length_1957_cov_0_443355,1957,3.2915908256580013,4,1,1,0.25,0.25,Virsort,Lin,0.6819588282
BP49_NODE_11_length_9320_cov_2_263833,9320,3.9694159123539814,13,9,10,0.69,0.77,Virsort,Lin,0.4745879732166667
BP49_NODE_134_length_1751_cov_0_571166,1751,3.243286146083446,3,1,1,0.33,0.33,Diamond,Lin,0.9787691681999999
BP49_NODE_136_length_1743_cov_0_479655,1743,3.2412973871099933,2,1,1,0.5,0.5,Diamond,Lin,0.2567714889
BP49_NODE_13_length_7050_cov_0_714966,7050,3.848189116991399,9,9,9,1.0,1.0,Virsort,Lin,0.9663932801833334
BP49_NODE_143_length_1712_cov_0_486486,1712,3.2335037603411343,3,3,3,1.0,1.0,Virsort,Lin,0.6626592055333335
BP49_NODE_162_length_1564_cov_0_545392,1564,3.1942367487238292,4,3,3,0.75,0.75,Virsort,Lin,0.9351351294666667
BP49_NODE_17_length_6293_cov_5_658296,6293,3.7988577317474856,10,7,7,0.7,0.7,Virsort,Lin,0.370701389775
BP49_NODE_18_length_5682_cov_0_944974,5682,3.754501229386917,8,5,6,0.62,0.75,Virsort,Lin,0.6559009041
BP49_NODE_19_length_5667_cov_0_793725,5667,3.753353212641496,5,5,5,1.0,1.0,Virsort,Lin,0.5113371099399999
BP49_NODE_1_length_65331_cov_17_543582,65331,4.8151193058426225,82,15,18,0.18,0.22,Diamond,Circ,0.7149420447799999
BP49_NODE_205_length_1315_cov_0_371859,1315,3.1189257528257768,4,1,1,0.25,0.25,Virsort,Lin,0.6819588282
BP49_NODE_208_length_1307_cov_1_393761,1307,3.116275587580544,3,1,1,0.33,0.33,Diamond,Lin,0.2748425788
BP49_NODE_20_length_5591_cov_0_722121,5591,3.747489492258673,8,7,7,0.88,0.88,Virsort,Lin,0.5345843879
BP49_NODE_223_length_1271_cov_0_487826,1271,3.104145550554008,4,3,4,0.75,1.0,Virsort,Lin,0.6317157429333333
BP49_NODE_224_length_1271_cov_0_406087,1271,3.104145550554008,3,1,1,0.33,0.33,Diamond,Lin,0.1988778257
BP49_NODE_227_length_1247_cov_0_542629,1247,3.0958664534785427,4,2,2,0.5,0.5,Virsort,Lin,0.8341414479000001
BP49_NODE_22_length_5096_cov_7_091457,5096,3.707229419327294,11,9,10,0.82,0.91,Virsort,Lin,0.53021345465
BP49_NODE_235_length_1206_cov_0_393548,1206,3.0813473078041325,3,1,1,0.33,0.33,Diamond,Lin,1.0
BP49_NODE_237_length_1203_cov_0_475046,1203,3.0802656273398448,3,2,2,0.67,0.67,Diamond,Lin,1.0
BP49_NODE_255_length_1134_cov_1_504442,1134,3.0546130545568877,1,1,1,1.0,1.0,Diamond,Lin,0.2567714889
BP49_NODE_269_length_1099_cov_0_219836,1099,3.0409976924234905,2,2,2,1.0,1.0,Diamond,Lin,0.3190172475
BP49_NODE_26_length_4749_cov_1_444685,4749,3.6766021695820186,7,2,3,0.29,0.43,Diamond,Lin,0.2398673013
BP49_NODE_271_length_1096_cov_0_169231,1096,3.0398105541483504,2,2,2,1.0,1.0,Diamond,Lin,0.6208161042
BP49_NODE_28_length_4633_cov_1_210106,4633,3.6658623002031554,13,8,9,0.62,0.69,Virsort,Lin,0.8865028745833333
BP49_NODE_294_length_1039_cov_0_840959,1039,3.016615547557177,3,1,1,0.33,0.33,Virsort,Lin,0.0
BP49_NODE_29_length_4608_cov_0_782483,4608,3.6635124704151556,6,2,2,0.33,0.33,Diamond,Lin,1.0
BP49_NODE_2_length_32306_cov_7_451888,32306,4.509283188736666,56,10,14,0.18,0.25,Virsort,Lin,0.6705528162833333
BP49_NODE_319_length_982_cov_1_391405,982,2.99211148778695,2,1,1,0.5,0.5,Diamond,Lin,0.9642969972
BP49_NODE_343_length_938_cov_0_545900,938,2.9722028383790646,1,1,1,1.0,1.0,Diamond,Lin,1.0
BP49_NODE_349_length_932_cov_0_584464,932,2.9694159123539814,2,2,2,1.0,1.0,Diamond,Lin,1.0
BP49_NODE_351_length_929_cov_0_924505,929,2.968015713993642,1,1,1,1.0,1.0,Diamond,Lin,0.0
BP49_NODE_373_length_908_cov_0_271919,908,2.958085848521085,2,0,0,0.0,0.0,Diamond,Lin,0.0
BP49_NODE_399_length_867_cov_0_690349,867,2.9380190974762104,2,2,2,1.0,1.0,Diamond,Lin,0.5172883193
BP49_NODE_39_length_3621_cov_1_270000,3621,3.5588285248170117,6,3,3,0.5,0.5,Virsort,Lin,0.9526446439
BP49_NODE_3_length_32202_cov_5_285465,32202,4.507882845670679,45,9,12,0.2,0.27,Virsort,Lin,0.7298482136500001
BP49_NODE_442_length_830_cov_0_203103,830,2.9190780923760737,1,0,1,0.0,1.0,Diamond,Lin,0.0
BP49_NODE_447_length_822_cov_0_526391,822,2.9148718175400505,1,1,1,1.0,1.0,Diamond,Lin,0.9864725736
BP49_NODE_476_length_793_cov_0_675595,793,2.8992731873176036,3,1,1,0.33,0.33,Diamond,Lin,0.0210591251
BP49_NODE_488_length_782_cov_1_051437,782,2.893206753059848,1,1,1,1.0,1.0,Diamond,Lin,0.9864725736
BP49_NODE_4_length_25564_cov_9_867154,25564,4.4076288088765185,33,22,23,0.67,0.7,Virsort,Lin,0.64165649385
BP49_NODE_52_length_3011_cov_0_675779,3011,3.4787107555127594,1,1,1,1.0,1.0,Diamond,Lin,0.9642969972
BP49_NODE_53_length_2982_cov_0_599091,2982,3.474507639116976,4,3,3,0.75,0.75,Virsort,Lin,0.7354328640333333
BP49_NODE_551_length_726_cov_0_360331,726,2.8609366207000937,3,1,1,0.33,0.33,Diamond,Lin,0.0
BP49_NODE_618_length_677_cov_0_528777,677,2.8305886686851442,1,1,1,1.0,1.0,Diamond,Lin,0.0
BP49_NODE_61_length_2679_cov_0_581314,2679,3.427972713608209,4,3,3,0.75,0.75,Virsort,Lin,0.77696356005
BP49_NODE_624_length_673_cov_0_556159,673,2.828015064223977,3,1,1,0.33,0.33,Diamond,Lin,1.0
BP49_NODE_632_length_670_cov_0_663024,670,2.8260748027008264,2,1,2,0.5,1.0,Diamond,Lin,1.0
BP49_NODE_648_length_656_cov_0_158879,656,2.8169038393756605,2,1,1,0.5,0.5,Diamond,Lin,0.3190172475
BP49_NODE_670_length_640_cov_0_250482,640,2.806179973983887,2,1,1,0.5,0.5,Diamond,Lin,0.8568808095999999
BP49_NODE_67_length_2581_cov_2_686585,2581,3.411788004543869,4,2,2,0.5,0.5,Diamond,Lin,1.0
BP49_NODE_69_length_2545_cov_1_295792,2545,3.4056877866727775,8,2,3,0.25,0.38,Virsort,Lin,0.6362014970000001
BP49_NODE_6_length_13426_cov_7_108305,13426,4.127946642848902,30,14,14,0.47,0.47,Virsort,Lin,0.50521894581
BP49_NODE_71_length_2515_cov_1_458647,2515,3.400537989391946,4,2,2,0.5,0.5,Virsort,Lin,0.70058228935
BP49_NODE_724_length_614_cov_0_409736,614,2.788168371141168,1,1,1,1.0,1.0,Diamond,Lin,0.0
BP49_NODE_74_length_2493_cov_0_750843,2493,3.3967222785037734,2,1,1,0.5,0.5,Diamond,Lin,1.0
BP49_NODE_751_length_604_cov_0_345756,604,2.7810369386211318,2,2,2,1.0,1.0,Diamond,Lin,0.5951554269
BP49_NODE_758_length_603_cov_0_130705,603,2.780317312140151,2,1,1,0.5,0.5,Diamond,Lin,1.0
BP49_NODE_787_length_590_cov_0_334755,590,2.7708520116421442,1,1,1,1.0,1.0,Diamond,Lin,1.0
BP49_NODE_795_length_587_cov_0_248927,587,2.7686381012476144,1,1,1,1.0,1.0,Diamond,Lin,0.0
BP49_NODE_797_length_585_cov_2_448276,585,2.7671558660821804,2,1,1,0.5,0.5,Diamond,Lin,0.3190172475
BP49_NODE_807_length_583_cov_0_430736,583,2.765668554759014,2,1,1,0.5,0.5,Diamond,Lin,0.6830815572
BP49_NODE_80_length_2386_cov_0_604415,2386,3.377670439334323,3,3,3,1.0,1.0,Virsort,Lin,0.8368666901499999
BP49_NODE_811_length_581_cov_0_363043,581,2.7641761323903307,2,1,1,0.5,0.5,Diamond,Lin,1.0
BP49_NODE_815_length_580_cov_0_352941,580,2.7634279935629373,1,0,0,0.0,0.0,Diamond,Lin,0.0
BP49_NODE_875_length_561_cov_0_361364,561,2.748962861256161,1,1,1,1.0,1.0,Diamond,Lin,0.6501216289
BP49_NODE_87_length_2223_cov_0_771170,2223,3.3469394626989906,5,1,1,0.2,0.2,Virsort,Lin,0.8327070545999999
BP49_NODE_884_length_558_cov_0_171625,558,2.7466341989375787,2,1,2,0.5,1.0,Diamond,Lin,1.0
BP49_NODE_893_length_555_cov_0_156682,555,2.7442929831226763,2,1,1,0.5,0.5,Diamond,Lin,0.0
BP49_NODE_8_length_10567_cov_3_319070,10567,4.023951707423388,12,10,10,0.83,0.83,Virsort,Lin,0.7983473416375
BP49_NODE_94_length_2136_cov_1_065509,2136,3.3296012483565187,7,3,3,0.43,0.43,Virsort,Lin,0.7062434122500001
BP49_NODE_972_length_532_cov_0_301703,532,2.7259116322950483,2,0,0,0.0,0.0,Diamond,Lin,0.0
BP49_NODE_98_length_2070_cov_0_956388,2070,3.315970345456918,3,3,3,1.0,1.0,Diamond,Lin,0.9251604858333332
BP50_NODE_101_length_1849_cov_0_717014,1849,3.2669369111591733,7,7,7,1.0,1.0,Virsort,Lin,0.9371793820166667
BP50_NODE_1073_length_674_cov_0_840868,674,2.82865989653532,1,1,1,1.0,1.0,Diamond,Lin,0.2567714889
BP50_NODE_109_length_1785_cov_0_591346,1785,3.251638220448212,4,2,2,0.5,0.5,Virsort,Lin,0.0
BP50_NODE_10_length_9997_cov_0_998684,9997,3.999869692108268,27,14,16,0.52,0.59,Virsort,Lin,0.8877971425
BP50_NODE_1153_length_656_cov_0_157009,656,2.8169038393756605,1,0,1,0.0,1.0,Diamond,Lin,0.0
BP50_NODE_115_length_1761_cov_1_062805,1761,3.245759355967277,6,4,5,0.67,0.83,Virsort,Lin,0.98714026445
BP50_NODE_119_length_1745_cov_0_524015,1745,3.241795431295199,4,2,2,0.5,0.5,Diamond,Lin,0.3444524446
BP50_NODE_11_length_7518_cov_2_367446,7518,3.8761023213777936,12,9,10,0.75,0.83,Virsort,Lin,0.696249433425
BP50_NODE_1232_length_637_cov_0_519380,637,2.8041394323353503,3,3,3,1.0,1.0,Virsort,Lin,0.9046783173666667
BP50_NODE_124_length_1709_cov_0_481108,1709,3.232742062720737,1,1,1,1.0,1.0,Diamond,Lin,0.2567714889
BP50_NODE_1298_length_619_cov_0_373494,619,2.791690649020118,1,1,1,1.0,1.0,Diamond,Lin,0.0
BP50_NODE_12_length_7328_cov_1_342167,7328,3.8649854606597938,12,9,9,0.75,0.75,Virsort,Lin,0.47750934032857145
BP50_NODE_1379_length_600_cov_0_154489,600,2.7781512503836434,1,1,1,1.0,1.0,Diamond,Lin,0.7933072701
BP50_NODE_13_length_7229_cov_1_948368,7229,3.8590782247469693,13,6,6,0.46,0.46,Virsort,Lin,0.3939351345666667
BP50_NODE_1428_length_592_cov_0_180467,592,2.77232170672292,2,1,1,0.5,0.5,Diamond,Lin,0.12487422470000001
BP50_NODE_1469_length_584_cov_0_408207,584,2.7664128471123997,1,1,1,1.0,1.0,Diamond,Lin,0.0
BP50_NODE_146_length_1560_cov_0_214038,1560,3.1931245983544616,1,1,1,1.0,1.0,Diamond,Lin,0.0
BP50_NODE_1498_length_579_cov_0_288210,579,2.762678563727436,1,1,1,1.0,1.0,Diamond,Lin,0.772837178
BP50_NODE_149_length_1520_cov_0_822731,1520,3.1818435879447726,2,2,2,1.0,1.0,Diamond,Lin,0.1368740373
BP50_NODE_14_length_7220_cov_1_162417,7220,3.858537197569639,12,7,7,0.58,0.58,Virsort,Lin,0.6474971778
BP50_NODE_1528_length_572_cov_0_281596,572,2.7573960287930244,2,2,2,1.0,1.0,Diamond,Lin,0.7284275077
BP50_NODE_1542_length_569_cov_0_194196,569,2.7551122663950713,1,0,0,0.0,0.0,Diamond,Lin,0.0
BP50_NODE_1560_length_566_cov_0_224719,566,2.7528164311882715,1,1,1,1.0,1.0,Diamond,Lin,1.0
BP50_NODE_158_length_1488_cov_0_573519,1488,3.17260293120986,5,3,3,0.6,0.6,Virsort,Lin,0.7466735357000001
BP50_NODE_15_length_6575_cov_0_726991,6575,3.8178957571617955,9,7,7,0.78,0.78,Virsort,Lin,0.667169539275
BP50_NODE_1622_length_556_cov_0_377011,556,2.7450747915820575,2,1,1,0.5,0.5,Diamond,Lin,0.0306605948
BP50_NODE_1628_length_555_cov_0_334101,555,2.7442929831226763,1,1,1,1.0,1.0,Diamond,Lin,0.0
BP50_NODE_1630_length_555_cov_0_161290,555,2.7442929831226763,2,1,1,0.5,0.5,Diamond,Lin,1.0
BP50_NODE_1640_length_553_cov_0_243056,553,2.7427251313046983,1,1,1,1.0,1.0,Diamond,Lin,0.0
BP50_NODE_16_length_6024_cov_6_082670,6024,3.7798849631926443,13,2,2,0.15,0.15,Virsort,Lin,0.8543853211
BP50_NODE_1706_length_545_cov_0_247642,545,2.7363965022766426,2,2,2,1.0,1.0,Diamond,Lin,0.8643248233
BP50_NODE_1735_length_540_cov_0_245823,540,2.7323937598229686,1,1,1,1.0,1.0,Diamond,Lin,1.0
BP50_NODE_1746_length_539_cov_0_138756,539,2.7315887651867388,1,1,1,1.0,1.0,Diamond,Lin,0.0
BP50_NODE_1759_length_537_cov_0_250000,537,2.7299742856995555,3,0,0,0.0,0.0,Diamond,Lin,0.0
BP50_NODE_177_length_1417_cov_0_420525,1417,3.1513698502474603,4,3,3,0.75,0.75,Virsort,Lin,0.7725726949666667
BP50_NODE_1798_length_532_cov_0_214112,532,2.7259116322950483,1,1,1,1.0,1.0,Diamond,Lin,0.0
BP50_NODE_17_length_5105_cov_1_033909,5105,3.707995746422929,11,6,6,0.55,0.55,Virsort,Lin,0.7518706027166666
BP50_NODE_181_length_1405_cov_0_619159,1405,3.1476763242410986,3,3,3,1.0,1.0,Virsort,Lin,1.0
BP50_NODE_1890_length_518_cov_0_075567,518,2.714329759745233,1,1,1,1.0,1.0,Diamond,Lin,1.0
BP50_NODE_189_length_1390_cov_0_586288,1390,3.143014800254095,3,3,3,1.0,1.0,Virsort,Lin,0.5455935424
BP50_NODE_1976_length_506_cov_0_838961,506,2.7041505168397992,3,2,2,0.67,0.67,Diamond,Lin,0.8463983012
BP50_NODE_19_length_4721_cov_1_725217,4721,3.674034000431255,10,7,7,0.7,0.7,Virsort,Lin,0.8756176462166666
BP50_NODE_1_length_71699_cov_19_894646,71699,4.855513098519816,88,78,79,0.89,0.9,Diamond,Circ,0.9043451405983051
BP50_NODE_2003_length_503_cov_0_277487,503,2.7015679850559273,2,1,1,0.5,0.5,Diamond,Lin,0.2398673013
BP50_NODE_2006_length_503_cov_0_167539,503,2.7015679850559273,2,2,2,1.0,1.0,Diamond,Lin,0.8152491303
BP50_NODE_22_length_3799_cov_0_646547,3799,3.57966929355472,4,4,4,1.0,1.0,Virsort,Lin,0.8660091291750001
BP50_NODE_232_length_1298_cov_0_421410,1298,3.1132746924643504,3,2,2,0.67,0.67,Virsort,Lin,0.6251735804999999
BP50_NODE_235_length_1296_cov_0_547234,1296,3.1126050015345745,1,0,0,0.0,0.0,Diamond,Lin,0.0
BP50_NODE_23_length_3767_cov_0_644268,3767,3.5759956202032677,7,5,5,0.71,0.71,Virsort,Lin,0.47041119715
BP50_NODE_24_length_3718_cov_2_870726,3718,3.5703093854358796,4,3,3,0.75,0.75,Virsort,Lin,0.7809755448000001
BP50_NODE_250_length_1270_cov_0_255004,1270,3.103803720955957,4,2,2,0.5,0.5,Virsort,Lin,0.7976981384999999
BP50_NODE_25_length_3692_cov_1_150658,3692,3.5672616923538745,7,2,2,0.29,0.29,Virsort,Lin,0.29019291775
BP50_NODE_268_length_1218_cov_0_310848,1218,3.0856472882968564,2,2,2,1.0,1.0,Diamond,Lin,0.0
BP50_NODE_28_length_3577_cov_0_659722,3577,3.5535189401489697,8,8,8,1.0,1.0,Virsort,Lin,0.885707575775
BP50_NODE_29_length_3542_cov_1_038585,3542,3.549248556854056,11,4,5,0.36,0.45,Virsort,Lin,0.6954330635666667
BP50_NODE_31_length_3486_cov_1_022883,3486,3.5423273827739745,5,2,3,0.4,0.6,Virsort,Lin,0.3630491454
BP50_NODE_32_length_3444_cov_0_635570,3444,3.537063142781617,5,5,5,1.0,1.0,Virsort,Lin,0.9305516710333332
BP50_NODE_36_length_3256_cov_0_802552,3256,3.5126843962171637,10,2,3,0.2,0.3,Virsort,Lin,0.8934123459500001
BP50_NODE_375_length_1072_cov_0_662461,1072,3.030194785356751,3,2,2,0.67,0.67,Diamond,Lin,0.73702464945
BP50_NODE_37_length_3074_cov_1_704707,3074,3.4877038631637265,6,6,6,1.0,1.0,Virsort,Lin,0.7865809898
BP50_NODE_39_length_3023_cov_1_057547,3023,3.480438147177817,6,2,2,0.33,0.33,Virsort,Lin,0.0
BP50_NODE_3_length_63344_cov_156_042817,63344,4.80170548440813,78,30,32,0.38,0.41,Virsort,Lin,0.7476767327727273
BP50_NODE_455_length_993_cov_0_287844,993,2.996949248495381,3,1,1,0.33,0.33,Diamond,Lin,0.764458273
BP50_NODE_45_length_2713_cov_0_646991,2713,3.433449793761596,4,4,4,1.0,1.0,Virsort,Lin,0.515359492275
BP50_NODE_476_length_973_cov_0_353286,973,2.988112840268352,1,1,1,1.0,1.0,Diamond,Lin,0.0
BP50_NODE_487_length_964_cov_0_619217,964,2.984077033902831,2,1,1,0.5,0.5,Diamond,Lin,1.0
BP50_NODE_494_length_962_cov_0_391201,962,2.983175072037813,2,2,2,1.0,1.0,Diamond,Lin,0.1002188415
BP50_NODE_4_length_51643_cov_134_843310,51643,4.713011462982492,66,35,36,0.53,0.55,Diamond,Circ,0.6294735636346154
BP50_NODE_52_length_2520_cov_0_320133,2520,3.401400540781544,4,1,2,0.25,0.5,Virsort,Lin,0.8049370765
BP50_NODE_557_length_915_cov_0_323678,915,2.9614210940664485,2,1,1,0.5,0.5,Diamond,Lin,0.2382817567
BP50_NODE_594_length_892_cov_0_189364,892,2.950364854376123,1,1,1,1.0,1.0,Diamond,Lin,0.2382817567
BP50_NODE_59_length_2387_cov_0_407767,2387,3.3778524190067545,5,4,4,0.8,0.8,Virsort,Lin,0.6102581764750001
BP50_NODE_5_length_45555_cov_7_532597,45555,4.658536050973947,71,42,45,0.59,0.63,Diamond,Circ,0.721667123559375
BP50_NODE_682_length_833_cov_0_492978,833,2.9206450014067875,2,2,2,1.0,1.0,Diamond,Lin,0.8901110358
BP50_NODE_6_length_32162_cov_68_937486,32162,4.507343047599939,54,10,12,0.19,0.22,Virsort,Lin,0.7111575149714285
BP50_NODE_766_length_792_cov_0_347243,792,2.8987251815894934,2,2,2,1.0,1.0,Diamond,Lin,0.7200928153999999
BP50_NODE_785_length_785_cov_0_394578,785,2.8948696567452523,2,1,1,0.5,0.5,Diamond,Lin,1.0
BP50_NODE_78_length_2142_cov_0_499753,2142,3.330819466495837,6,3,3,0.5,0.5,Diamond,Lin,0.2907819994666667
BP50_NODE_7_length_31634_cov_7_148098,31634,4.500154110287307,49,27,29,0.55,0.59,Virsort,Lin,0.6552504710238095
BP50_NODE_814_length_770_cov_0_281972,770,2.886490725172482,1,1,1,1.0,1.0,Diamond,Lin,0.9095715588
BP50_NODE_87_length_2005_cov_1_213376,2005,3.302114376956201,7,0,1,0.0,0.14,Virsort,Lin,0.0
BP50_NODE_88_length_1981_cov_0_393548,1981,3.296884475538547,5,4,4,0.8,0.8,Virsort,Lin,0.834665949
BP50_NODE_8_length_24016_cov_11_623729,24016,4.380500674899195,30,14,16,0.47,0.53,Virsort,Lin,0.693351057111111
BP50_NODE_9_length_21949_cov_6_153656,21949,4.34141473850183,40,15,16,0.38,0.4,Virsort,Lin,0.4772160668777778
BP5_NODE_45_length_671_cov_1_221818,671,2.826722520168992,2,1,1,0.5,0.5,Diamond,Lin,1.0
BP5_NODE_51_length_638_cov_0_352031,638,2.8048206787211623,2,1,2,0.5,1.0,Diamond,Lin,1.0
BP8_NODE_221_length_507_cov_0_621762,507,2.705007959333336,1,1,1,1.0,1.0,Diamond,Lin,1.0
BP8_NODE_5_length_4173_cov_9_244571,4173,3.620448384711709,11,0,0,0.0,0.0,Virsort,Lin,0.0
BP8_NODE_7_length_2798_cov_6_058648,2798,3.446847710155809,10,1,1,0.1,0.1,Virsort,Lin,0.7059987343999999
BP9_NODE_11_length_1519_cov_0_273963,1519,3.1815577738627865,7,0,3,0.0,0.43,Virsort,Lin,0.0
BP9_NODE_16_length_1376_cov_0_393625,1376,3.1386184338994925,4,3,3,0.75,0.75,Virsort,Lin,0.6099578876999999
BP9_NODE_33_length_1092_cov_0_629248,1092,3.0382226383687185,3,2,2,0.67,0.67,Diamond,Lin,0.37552449535
BP9_NODE_4_length_2125_cov_0_408683,2125,3.3273589343863303,5,4,4,0.8,0.8,Virsort,Lin,0.672025163
BP9_NODE_62_length_826_cov_0_489362,826,2.916980047320382,2,1,1,0.5,0.5,Diamond,Lin,0.6057886545000001
BeeP-02-2013_NODE_21_length_1023_cov_1_140592,1023,3.00987563371216,4,3,3,0.75,0.75,Virsort,Lin,0.54116779625
BeeP-02-2013_NODE_87_length_550_cov_0_934461,550,2.7403626894942437,1,0,0,0.0,0.0,Diamond,Lin,0.0
BeeP-05-2013_NODE_101_length_2433_cov_9_502547,2433,3.3861421089308186,5,3,3,0.6,0.6,Virsort,Lin,0.27161030406666664
BeeP-05-2013_NODE_114_length_2296_cov_8_582244,2296,3.3609718837259357,7,1,2,0.14,0.29,Virsort,Lin,0.7828109777
BeeP-05-2013_NODE_11_length_8561_cov_19_251414,8561,3.9325244970505424,11,7,8,0.64,0.73,Virsort,Lin,0.62370925884
BeeP-05-2013_NODE_120_length_2207_cov_3_600000,2207,3.343802333161655,2,1,1,0.5,0.5,Diamond,Lin,0.0
BeeP-05-2013_NODE_124_length_2119_cov_4_335945,2119,3.3261309567107946,1,0,0,0.0,0.0,Diamond,Lin,0.0
