,Group
BeeP-05-2013_NODE_5_length_9805_cov_74_240646,High coverage
BeeP-05-2013_NODE_8_length_9152_cov_12_124959,Low coverage
BeeP-05-2013_NODE_9_length_8996_cov_12_661733,High coverage
BeeP-05-2013_NODE_11_length_8561_cov_19_251414,High coverage
BeeP-05-2013_NODE_16_length_7352_cov_6_741581,Low coverage
BeeP-05-2013_NODE_18_length_6955_cov_10_567607,Low coverage
BeeP-05-2013_NODE_19_length_6628_cov_12_488933,High coverage
BeeP-05-2013_NODE_21_length_6013_cov_6_524933,High coverage
BeeP-05-2013_NODE_26_length_5231_cov_5_048312,High coverage
BeeP-05-2013_NODE_34_length_4095_cov_5_204828,Low coverage
BeeP-05-2013_NODE_35_length_4077_cov_7_456000,Low coverage
BeeP-05-2013_NODE_37_length_3986_cov_5_761064,High coverage
BeeP-05-2013_NODE_39_length_3826_cov_9_504935,Low coverage
BeeP-05-2013_NODE_47_length_3542_cov_10_371140,High coverage
BeeP-05-2013_NODE_61_length_3203_cov_3_885157,Low coverage
BeeP-05-2013_NODE_67_length_3058_cov_9_438443,Low coverage
BeeP-05-2013_NODE_69_length_2993_cov_4_772977,Low coverage
BeeP-05-2013_NODE_72_length_2961_cov_6_250000,Low coverage
BeeP-05-2013_NODE_81_length_2744_cov_2_762280,Low coverage
BeeP-05-2013_NODE_84_length_2674_cov_5_428186,Low coverage
BeeP-05-2013_NODE_86_length_2604_cov_14_952117,High coverage
BeeP-05-2013_NODE_95_length_2490_cov_4_218815,High coverage
BeeP-05-2013_NODE_98_length_2457_cov_2_142017,Low coverage
BeeP-05-2013_NODE_101_length_2433_cov_9_502547,Low coverage
BeeP-05-2013_NODE_114_length_2296_cov_8_582244,Low coverage
BeeP-05-2013_NODE_120_length_2207_cov_3_600000,High coverage
BeeP-05-2013_NODE_124_length_2119_cov_4_335945,Low coverage
BeeP-05-2013_NODE_125_length_2118_cov_6_977462,High coverage
BeeP-05-2013_NODE_138_length_2001_cov_4_314449,Low coverage
BeeP-05-2013_NODE_140_length_1993_cov_3_420668,High coverage
BeeP-05-2013_NODE_144_length_1973_cov_7_103903,Low coverage
BeeP-05-2013_NODE_161_length_1838_cov_3_601931,Low coverage
BeeP-05-2013_NODE_171_length_1805_cov_4_501736,Low coverage
BeeP-05-2013_NODE_173_length_1770_cov_3_805670,High coverage
BeeP-05-2013_NODE_181_length_1745_cov_7_948441,Low coverage
BeeP-05-2013_NODE_185_length_1724_cov_3_711597,Low coverage
BeeP-05-2013_NODE_192_length_1691_cov_1_869269,High coverage
BeeP-05-2013_NODE_198_length_1663_cov_4_357503,Low coverage
BeeP-05-2013_NODE_207_length_1615_cov_15_985046,High coverage
BeeP-05-2013_NODE_237_length_1432_cov_2_048708,Low coverage
BeeP-05-2013_NODE_246_length_1389_cov_2_635671,Low coverage
BeeP-05-2013_NODE_255_length_1354_cov_6_890368,Low coverage
BeeP-05-2013_NODE_278_length_1292_cov_6_314403,Low coverage
BeeP-05-2013_NODE_293_length_1248_cov_2_661827,Low coverage
BeeP-05-2013_NODE_322_length_1168_cov_2_208066,Low coverage
BeeP-05-2013_NODE_338_length_1137_cov_2_747170,Low coverage
BeeP-05-2013_NODE_347_length_1123_cov_2_903442,Low coverage
BeeP-05-2013_NODE_349_length_1117_cov_1_774038,High coverage
BeeP-05-2013_NODE_375_length_1065_cov_5_042510,High coverage
BeeP-05-2013_NODE_380_length_1051_cov_1_866530,High coverage
BeeP-05-2013_NODE_429_length_944_cov_3_618224,High coverage
BeeP-05-2013_NODE_434_length_930_cov_3_643611,Low coverage
BeeP-05-2013_NODE_440_length_921_cov_2_396919,Low coverage
BeeP-05-2013_NODE_446_length_909_cov_4_312500,Low coverage
BeeP-05-2013_NODE_449_length_903_cov_2_449153,Low coverage
BeeP-05-2013_NODE_464_length_876_cov_2_152691,Low coverage
BeeP-05-2013_NODE_470_length_865_cov_1_110406,Low coverage
BeeP-05-2013_NODE_475_length_858_cov_1_608195,Low coverage
BeeP-05-2013_NODE_486_length_842_cov_1_997386,Low coverage
BeeP-05-2013_NODE_487_length_838_cov_1_802891,Low coverage
BeeP-05-2013_NODE_495_length_832_cov_1_847682,Low coverage
BeeP-05-2013_NODE_530_length_791_cov_2_813725,Low coverage
BeeP-05-2013_NODE_540_length_779_cov_1_457265,High coverage
BeeP-05-2013_NODE_544_length_772_cov_2_166906,Low coverage
BeeP-05-2013_NODE_555_length_762_cov_2_693431,Low coverage
BeeP-05-2013_NODE_559_length_760_cov_1_853587,Low coverage
BeeP-05-2013_NODE_582_length_745_cov_1_853293,Low coverage
BeeP-05-2013_NODE_599_length_729_cov_1_130368,Low coverage
BeeP-05-2013_NODE_607_length_719_cov_1_573209,Low coverage
BeeP-05-2013_NODE_655_length_679_cov_2_338870,High coverage
BeeP-05-2013_NODE_659_length_675_cov_1_658863,Low coverage
BeeP-05-2013_NODE_694_length_651_cov_2_125436,Low coverage
BeeP-05-2013_NODE_696_length_649_cov_2_477273,Low coverage
BeeP-05-2013_NODE_716_length_629_cov_2_677536,Low coverage
BeeP-05-2013_NODE_737_length_615_cov_1_672862,Low coverage
BeeP-05-2013_NODE_738_length_615_cov_1_157993,Low coverage
BeeP-05-2013_NODE_756_length_598_cov_2_101727,Low coverage
BeeP-05-2013_NODE_765_length_594_cov_1_437137,High coverage
BeeP-05-2013_NODE_786_length_587_cov_1_352941,Low coverage
BeeP-05-2013_NODE_789_length_585_cov_1_576772,Low coverage
BeeP-05-2013_NODE_803_length_578_cov_2_802395,Low coverage
BeeP-05-2013_NODE_813_length_571_cov_5_483806,Low coverage
BeeP-05-2013_NODE_851_length_554_cov_1_704403,Low coverage
BeeP-05-2013_NODE_861_length_549_cov_1_042373,High coverage
BeeP-05-2013_NODE_862_length_549_cov_0_934322,High coverage
BeeP-05-2013_NODE_864_length_548_cov_1_070064,Low coverage
BeeP-05-2013_NODE_871_length_543_cov_4_163090,High coverage
BeeP-05-2013_NODE_877_length_538_cov_1_555315,Low coverage
BeeP-05-2013_NODE_947_length_510_cov_1_023095,Low coverage
BeeP-05-2013_NODE_969_length_501_cov_1_259434,Low coverage
BeeP-06-2013_NODE_1_length_28373_cov_138_815486,High modularity 2
BeeP-06-2013_NODE_29_length_3334_cov_6_877188,High coverage
BeeP-06-2013_NODE_36_length_3207_cov_13_949201,High coverage
BeeP-06-2013_NODE_38_length_3105_cov_4_913474,Low coverage
BeeP-06-2013_NODE_39_length_3085_cov_6_438830,High coverage
BeeP-06-2013_NODE_51_length_2887_cov_4_079715,Low coverage
BeeP-06-2013_NODE_52_length_2869_cov_6_349212,High coverage
BeeP-06-2013_NODE_55_length_2745_cov_13_562969,High coverage
BeeP-06-2013_NODE_72_length_2463_cov_5_668064,Low coverage
BeeP-06-2013_NODE_98_length_2174_cov_3_661898,Low coverage
BeeP-06-2013_NODE_102_length_2126_cov_8_751098,High coverage
BeeP-06-2013_NODE_107_length_2108_cov_4_967011,Low coverage
BeeP-06-2013_NODE_113_length_2073_cov_5_058116,Low coverage
BeeP-06-2013_NODE_124_length_2005_cov_2_720954,Low coverage
BeeP-06-2013_NODE_133_length_1962_cov_4_110345,Low coverage
BeeP-06-2013_NODE_167_length_1655_cov_4_614702,Low coverage
BeeP-06-2013_NODE_179_length_1603_cov_6_266710,Low coverage
BeeP-06-2013_NODE_214_length_1396_cov_4_003033,Low coverage
BeeP-06-2013_NODE_215_length_1395_cov_9_066009,High coverage
BeeP-06-2013_NODE_231_length_1333_cov_4_587580,Low coverage
BeeP-06-2013_NODE_269_length_1216_cov_5_694469,Low coverage
BeeP-06-2013_NODE_281_length_1186_cov_3_077547,Low coverage
BeeP-06-2013_NODE_282_length_1177_cov_7_468182,High coverage
BeeP-06-2013_NODE_287_length_1154_cov_2_399257,Low coverage
BeeP-06-2013_NODE_339_length_1037_cov_3_355208,Low coverage
BeeP-06-2013_NODE_359_length_990_cov_2_564074,Low coverage
BeeP-06-2013_NODE_398_length_923_cov_1_595745,Low coverage
BeeP-06-2013_NODE_438_length_866_cov_3_221800,Low coverage
BeeP-06-2013_NODE_476_length_815_cov_1_485095,Low coverage
BeeP-06-2013_NODE_533_length_771_cov_1_740634,Low coverage
BeeP-06-2013_NODE_540_length_764_cov_1_542940,Low coverage
BeeP-06-2013_NODE_546_length_759_cov_5_856305,Low coverage
BeeP-06-2013_NODE_618_length_681_cov_2_246689,Low coverage
BeeP-06-2013_NODE_654_length_643_cov_2_212014,Low coverage
BeeP-06-2013_NODE_659_length_639_cov_2_967972,Low coverage
BeeP-06-2013_NODE_680_length_623_cov_0_871795,Low coverage
BeeP-06-2013_NODE_704_length_606_cov_1_863894,Low coverage
BeeP-06-2013_NODE_797_length_536_cov_2_440087,Low coverage
BeeP-06-2013_NODE_798_length_533_cov_1_385965,Low coverage
BeeP-06-2013_NODE_803_length_527_cov_2_406667,Low coverage
BeeP-06-2013_NODE_814_length_521_cov_3_299550,Low coverage
BeeP-06-2013_NODE_820_length_519_cov_2_441176,Low coverage
BeeP-07-2013_NODE_47_length_1224_cov_7_928509,High coverage
BeeP-08-2013_NODE_3_length_3541_cov_10_693995,High coverage
BeeP-08-2013_NODE_7_length_2978_cov_8_323337,High coverage
BeeP-08-2013_NODE_9_length_2773_cov_13_231454,High coverage
BeeP-08-2013_NODE_12_length_2519_cov_9_964783,High coverage
BeeP-08-2013_NODE_23_length_1969_cov_10_245243,High coverage
BeeP-08-2013_NODE_25_length_1878_cov_3_731816,High coverage
BeeP-08-2013_NODE_42_length_1534_cov_10_426905,High coverage
BeeP-09-2013_NODE_6_length_6240_cov_56_751420,High coverage
BeeP-09-2013_NODE_53_length_567_cov_1_469388,High coverage
BeeP-10-2013_NODE_2_length_6894_cov_9_716151,High coverage
BeeP-10-2013_NODE_3_length_5262_cov_3_458245,High coverage
BeeP-10-2013_NODE_12_length_2859_cov_6_048167,High coverage
BeeP-10-2013_NODE_18_length_2230_cov_8_431955,High coverage
BeeP-10-2013_NODE_155_length_572_cov_2_961616,High coverage
BeeP-11-2013_NODE_1_length_180431_cov_45_996640,High modularity 1
BeeP-11-2013_NODE_2_length_102270_cov_31_231611,High modularity 1
BeeP-11-2013_NODE_3_length_61196_cov_356_638901,High modularity 1
BeeP-11-2013_NODE_4_length_60019_cov_181_161940,High modularity 1
BeeP-11-2013_NODE_5_length_48957_cov_40_354664,High modularity 1
BeeP-11-2013_NODE_6_length_47542_cov_634_671885,High modularity 1
BeeP-11-2013_NODE_7_length_46934_cov_15_474593,High modularity 1
BeeP-11-2013_NODE_8_length_46852_cov_48_771438,High modularity 1
BeeP-11-2013_NODE_9_length_46489_cov_58_922111,High modularity 1
BeeP-11-2013_NODE_10_length_45562_cov_39_780829,High modularity 1
BeeP-11-2013_NODE_11_length_45238_cov_62_839065,High modularity 1
BeeP-11-2013_NODE_12_length_44834_cov_98_401412,High modularity 1
BeeP-11-2013_NODE_13_length_44796_cov_40_206802,High modularity 1
BeeP-11-2013_NODE_14_length_44651_cov_23_057500,High modularity 1
BeeP-11-2013_NODE_15_length_41656_cov_58_291012,High modularity 1
BeeP-11-2013_NODE_16_length_39794_cov_119_743586,High modularity 1
BeeP-11-2013_NODE_17_length_39362_cov_35_956828,High modularity 1
BeeP-11-2013_NODE_18_length_39201_cov_66_867652,High modularity 1
BeeP-11-2013_NODE_19_length_38822_cov_25_676758,High modularity 1
BeeP-11-2013_NODE_20_length_38757_cov_153_129731,High modularity 1
BeeP-11-2013_NODE_21_length_35978_cov_76_160135,High modularity 1
BeeP-11-2013_NODE_22_length_34499_cov_23_020423,High modularity 1
BeeP-11-2013_NODE_23_length_33677_cov_17_238929,High modularity 1
BeeP-11-2013_NODE_24_length_32850_cov_182_557074,High modularity 1
BeeP-11-2013_NODE_25_length_26816_cov_25_685590,High modularity 1
BeeP-11-2013_NODE_26_length_25964_cov_91_289643,High modularity 2
BeeP-11-2013_NODE_27_length_25922_cov_20_651654,High modularity 1
BeeP-11-2013_NODE_28_length_25225_cov_122_681565,High modularity 1
BeeP-11-2013_NODE_29_length_24588_cov_13_021011,High modularity 1
BeeP-11-2013_NODE_30_length_24504_cov_28_279772,High modularity 1
BeeP-11-2013_NODE_31_length_23064_cov_42_765520,High modularity 1
BeeP-11-2013_NODE_32_length_21827_cov_13_652920,High modularity 1
BeeP-11-2013_NODE_33_length_21811_cov_17_947686,High modularity 1
BeeP-11-2013_NODE_34_length_21521_cov_19_731673,High modularity 1
BeeP-11-2013_NODE_35_length_20898_cov_10_508669,High modularity 1
BeeP-11-2013_NODE_36_length_20719_cov_32_903788,High modularity 1
BeeP-11-2013_NODE_37_length_20392_cov_20_476298,High modularity 1
BeeP-11-2013_NODE_38_length_20244_cov_16_134576,High modularity 1
BeeP-11-2013_NODE_39_length_20021_cov_15_103891,High modularity 1
BeeP-11-2013_NODE_40_length_19922_cov_16_914286,High modularity 1
BeeP-11-2013_NODE_41_length_18518_cov_23_720568,High modularity 1
BeeP-11-2013_NODE_42_length_17741_cov_312_313915,High modularity 1
BeeP-11-2013_NODE_43_length_17585_cov_13_651988,High modularity 1
BeeP-11-2013_NODE_44_length_16844_cov_31_459414,High modularity 1
BeeP-11-2013_NODE_45_length_16724_cov_16_161410,High modularity 1
BeeP-11-2013_NODE_46_length_16464_cov_16_247696,High modularity 1
BeeP-11-2013_NODE_48_length_15799_cov_15_347411,High modularity 1
BeeP-11-2013_NODE_49_length_15694_cov_34_943907,High modularity 1
BeeP-11-2013_NODE_50_length_15669_cov_13_266419,High modularity 1
BeeP-11-2013_NODE_51_length_15417_cov_21_108409,High modularity 1
BeeP-11-2013_NODE_52_length_15365_cov_20_506149,High modularity 1
BeeP-11-2013_NODE_53_length_14306_cov_16_292290,High modularity 1
BeeP-11-2013_NODE_54_length_14128_cov_13_630062,High modularity 1
BeeP-11-2013_NODE_55_length_14052_cov_203_249589,High modularity 1
BeeP-11-2013_NODE_56_length_13825_cov_14_272694,High modularity 1
BeeP-11-2013_NODE_57_length_13737_cov_20_261493,High modularity 1
BeeP-11-2013_NODE_58_length_13366_cov_20_627662,High modularity 1
BeeP-11-2013_NODE_59_length_13251_cov_17_281843,High modularity 1
BeeP-11-2013_NODE_60_length_13245_cov_11_725015,High modularity 1
BeeP-11-2013_NODE_61_length_13003_cov_97_347130,High modularity 1
BeeP-11-2013_NODE_62_length_12962_cov_18_664338,High modularity 1
BeeP-11-2013_NODE_63_length_12887_cov_17_311085,High modularity 1
BeeP-11-2013_NODE_64_length_12533_cov_18_075064,High modularity 2
BeeP-11-2013_NODE_65_length_12425_cov_14_786119,High modularity 1
BeeP-11-2013_NODE_66_length_12420_cov_71_511383,High modularity 1
BeeP-11-2013_NODE_67_length_12287_cov_48_102621,High modularity 2
BeeP-11-2013_NODE_68_length_12116_cov_166_058477,High modularity 1
BeeP-11-2013_NODE_69_length_11839_cov_37_833447,High modularity 1
BeeP-11-2013_NODE_70_length_11802_cov_32_058849,High modularity 1
BeeP-11-2013_NODE_71_length_11668_cov_13_552325,High modularity 1
BeeP-11-2013_NODE_72_length_11642_cov_84_619109,High modularity 1
BeeP-11-2013_NODE_73_length_11536_cov_15_476918,High modularity 1
BeeP-11-2013_NODE_75_length_11463_cov_24_554892,High modularity 1
BeeP-11-2013_NODE_76_length_11264_cov_19_461250,High modularity 1
BeeP-11-2013_NODE_77_length_10903_cov_192_612230,High modularity 1
BeeP-11-2013_NODE_78_length_10566_cov_7_209744,High modularity 1
BeeP-11-2013_NODE_80_length_10529_cov_13_810180,High modularity 1
BeeP-11-2013_NODE_81_length_10519_cov_13_339782,High modularity 1
BeeP-11-2013_NODE_82_length_10442_cov_5_914038,High modularity 1
BeeP-11-2013_NODE_83_length_10438_cov_21_332207,High modularity 1
BeeP-11-2013_NODE_84_length_10343_cov_78_256088,High modularity 1
BeeP-11-2013_NODE_85_length_10196_cov_13_743255,High modularity 1
BeeP-11-2013_NODE_86_length_10140_cov_17_806817,High modularity 1
BeeP-11-2013_NODE_88_length_9942_cov_6_839736,Low coverage
BeeP-11-2013_NODE_90_length_9774_cov_15_230999,Low coverage
BeeP-11-2013_NODE_91_length_9692_cov_11_429329,Low coverage
BeeP-11-2013_NODE_92_length_9684_cov_27_709379,Low coverage
BeeP-11-2013_NODE_93_length_9663_cov_10_069789,Low coverage
BeeP-11-2013_NODE_94_length_9649_cov_23_741433,High coverage
BeeP-11-2013_NODE_95_length_9501_cov_250_230369,High coverage
BeeP-11-2013_NODE_96_length_9378_cov_12_425868,Low coverage
BeeP-11-2013_NODE_97_length_9353_cov_12_282988,Low coverage
BeeP-11-2013_NODE_98_length_9204_cov_44_590555,Low coverage
BeeP-11-2013_NODE_99_length_8951_cov_11_180302,Low coverage
BeeP-11-2013_NODE_100_length_8866_cov_9_449767,Low coverage
BeeP-11-2013_NODE_101_length_8830_cov_22_021136,Low coverage
BeeP-11-2013_NODE_102_length_8689_cov_18_793196,Low coverage
BeeP-11-2013_NODE_103_length_8620_cov_10_322018,Low coverage
BeeP-11-2013_NODE_104_length_8593_cov_19_443988,Low coverage
BeeP-11-2013_NODE_105_length_8557_cov_13_796580,Low coverage
BeeP-11-2013_NODE_106_length_8517_cov_46_099763,High coverage
BeeP-11-2013_NODE_107_length_8505_cov_22_606668,Low coverage
BeeP-11-2013_NODE_108_length_8344_cov_9_333737,Low coverage
BeeP-11-2013_NODE_109_length_8227_cov_11_958773,Low coverage
BeeP-11-2013_NODE_110_length_8176_cov_12_491789,Low coverage
BeeP-11-2013_NODE_111_length_8170_cov_8_958606,Low coverage
BeeP-11-2013_NODE_112_length_8082_cov_21_752530,Low coverage
BeeP-11-2013_NODE_113_length_8006_cov_9_434985,Low coverage
BeeP-11-2013_NODE_114_length_8002_cov_14_426877,Low coverage
BeeP-11-2013_NODE_115_length_7957_cov_10_297843,Low coverage
BeeP-11-2013_NODE_116_length_7875_cov_14_918697,Low coverage
BeeP-11-2013_NODE_117_length_7813_cov_25_130171,Low coverage
BeeP-11-2013_NODE_118_length_7717_cov_12_595942,Low coverage
BeeP-11-2013_NODE_119_length_7705_cov_12_708049,Low coverage
BeeP-11-2013_NODE_120_length_7671_cov_32_409007,High coverage
BeeP-11-2013_NODE_121_length_7605_cov_15_865569,Low coverage
BeeP-11-2013_NODE_122_length_7498_cov_7_298612,Low coverage
BeeP-11-2013_NODE_123_length_7327_cov_38_954897,Low coverage
BeeP-11-2013_NODE_124_length_7266_cov_5_229239,Low coverage
BeeP-11-2013_NODE_125_length_7203_cov_13_122930,Low coverage
BeeP-11-2013_NODE_126_length_7198_cov_20_322005,Low coverage
BeeP-11-2013_NODE_127_length_7197_cov_8_221067,High coverage
BeeP-11-2013_NODE_128_length_7148_cov_6_537265,Low coverage
BeeP-11-2013_NODE_129_length_7142_cov_15_730644,Low coverage
BeeP-11-2013_NODE_130_length_7126_cov_5_336927,Low coverage
BeeP-11-2013_NODE_131_length_7028_cov_11_339951,Low coverage
BeeP-11-2013_NODE_132_length_7010_cov_13_893985,Low coverage
BeeP-11-2013_NODE_133_length_6950_cov_9_394733,Low coverage
BeeP-11-2013_NODE_134_length_6896_cov_17_911571,Low coverage
BeeP-11-2013_NODE_135_length_6846_cov_9_638351,Low coverage
BeeP-11-2013_NODE_136_length_6790_cov_25_384925,Low coverage
BeeP-11-2013_NODE_137_length_6772_cov_10_184317,Low coverage
BeeP-11-2013_NODE_138_length_6666_cov_205_648657,Low coverage
BeeP-11-2013_NODE_139_length_6635_cov_14_598048,Low coverage
BeeP-11-2013_NODE_140_length_6545_cov_18_510977,Low coverage
BeeP-11-2013_NODE_142_length_6503_cov_54_464052,Low coverage
BeeP-11-2013_NODE_143_length_6496_cov_13_802150,Low coverage
BeeP-11-2013_NODE_144_length_6483_cov_16_857790,Low coverage
BeeP-11-2013_NODE_145_length_6481_cov_12_612742,Low coverage
BeeP-11-2013_NODE_146_length_6481_cov_9_013898,Low coverage
BeeP-11-2013_NODE_147_length_6465_cov_15_677833,High coverage
BeeP-11-2013_NODE_149_length_6451_cov_93_683401,Low coverage
BeeP-11-2013_NODE_150_length_6436_cov_6_100487,Low coverage
BeeP-11-2013_NODE_151_length_6344_cov_13_718685,Low coverage
BeeP-11-2013_NODE_152_length_6338_cov_8_287654,Low coverage
BeeP-11-2013_NODE_153_length_6224_cov_21_378396,Low coverage
BeeP-11-2013_NODE_154_length_6212_cov_17_839935,Low coverage
BeeP-11-2013_NODE_155_length_6208_cov_30_295873,Low coverage
BeeP-11-2013_NODE_157_length_6176_cov_24_464338,Low coverage
BeeP-11-2013_NODE_158_length_6170_cov_21_161989,Low coverage
BeeP-11-2013_NODE_159_length_6152_cov_7_117860,Low coverage
BeeP-11-2013_NODE_160_length_6151_cov_15_839644,Low coverage
BeeP-11-2013_NODE_161_length_6131_cov_20_655269,Low coverage
BeeP-11-2013_NODE_162_length_6127_cov_11_134876,Low coverage
BeeP-11-2013_NODE_164_length_6029_cov_15_518481,Low coverage
BeeP-11-2013_NODE_165_length_6006_cov_14_565863,Low coverage
BeeP-11-2013_NODE_166_length_6002_cov_26_671899,Low coverage
BeeP-11-2013_NODE_167_length_5993_cov_7_089080,Low coverage
BeeP-11-2013_NODE_168_length_5983_cov_6_603115,Low coverage
BeeP-11-2013_NODE_169_length_5958_cov_160_716545,Low coverage
BeeP-11-2013_NODE_170_length_5942_cov_9_840580,Low coverage
BeeP-11-2013_NODE_171_length_5939_cov_18_388605,Low coverage
BeeP-11-2013_NODE_172_length_5924_cov_28_139388,Low coverage
BeeP-11-2013_NODE_173_length_5866_cov_7_080152,Low coverage
BeeP-11-2013_NODE_174_length_5735_cov_29_983386,Low coverage
BeeP-11-2013_NODE_175_length_5680_cov_25_846511,Low coverage
BeeP-11-2013_NODE_176_length_5664_cov_24_494004,Low coverage
BeeP-11-2013_NODE_177_length_5658_cov_15_984411,Low coverage
BeeP-11-2013_NODE_178_length_5647_cov_22_763555,Low coverage
BeeP-11-2013_NODE_179_length_5638_cov_10_752922,Low coverage
BeeP-11-2013_NODE_180_length_5627_cov_5_563423,Low coverage
BeeP-11-2013_NODE_181_length_5598_cov_84_183481,Low coverage
BeeP-11-2013_NODE_182_length_5564_cov_32_942774,Low coverage
BeeP-11-2013_NODE_183_length_5550_cov_6_121506,Low coverage
BeeP-11-2013_NODE_184_length_5528_cov_7_235370,Low coverage
BeeP-11-2013_NODE_185_length_5525_cov_11_337555,Low coverage
BeeP-11-2013_NODE_186_length_5504_cov_5_649899,Low coverage
BeeP-11-2013_NODE_187_length_5502_cov_19_198157,Low coverage
BeeP-11-2013_NODE_188_length_5495_cov_11_508859,Low coverage
BeeP-11-2013_NODE_190_length_5467_cov_8_672542,Low coverage
BeeP-11-2013_NODE_191_length_5464_cov_11_646371,Low coverage
BeeP-11-2013_NODE_192_length_5460_cov_9_590191,Low coverage
BeeP-11-2013_NODE_193_length_5442_cov_10_348742,Low coverage
BeeP-11-2013_NODE_194_length_5405_cov_19_762950,Low coverage
BeeP-11-2013_NODE_195_length_5388_cov_7_906797,Low coverage
BeeP-11-2013_NODE_198_length_5329_cov_13_808264,Low coverage
BeeP-11-2013_NODE_200_length_5307_cov_9_936902,Low coverage
BeeP-11-2013_NODE_201_length_5261_cov_16_097994,High coverage
BeeP-11-2013_NODE_202_length_5257_cov_7_443436,Low coverage
BeeP-11-2013_NODE_203_length_5224_cov_16_860501,Low coverage
BeeP-11-2013_NODE_204_length_5215_cov_14_336707,Low coverage
BeeP-11-2013_NODE_205_length_5178_cov_12_284650,Low coverage
BeeP-11-2013_NODE_206_length_5149_cov_14_141167,Low coverage
BeeP-11-2013_NODE_207_length_5148_cov_6_945967,Low coverage
BeeP-11-2013_NODE_210_length_5053_cov_17_886656,Low coverage
BeeP-11-2013_NODE_212_length_4974_cov_6_378191,Low coverage
BeeP-11-2013_NODE_213_length_4918_cov_12_253047,Low coverage
BeeP-11-2013_NODE_214_length_4916_cov_11_178136,Low coverage
BeeP-11-2013_NODE_215_length_4903_cov_7_861583,Low coverage
BeeP-11-2013_NODE_216_length_4884_cov_6_011442,Low coverage
BeeP-11-2013_NODE_217_length_4879_cov_40_226364,Low coverage
BeeP-11-2013_NODE_218_length_4872_cov_6_672158,Low coverage
BeeP-11-2013_NODE_219_length_4847_cov_42_193501,Low coverage
BeeP-11-2013_NODE_220_length_4845_cov_15_772861,Low coverage
BeeP-11-2013_NODE_221_length_4829_cov_21_849116,Low coverage
BeeP-11-2013_NODE_222_length_4817_cov_17_598101,Low coverage
BeeP-11-2013_NODE_224_length_4813_cov_26_998311,Low coverage
BeeP-11-2013_NODE_225_length_4800_cov_7_675418,Low coverage
BeeP-11-2013_NODE_227_length_4735_cov_30_321597,Low coverage
BeeP-11-2013_NODE_228_length_4732_cov_6_839957,Low coverage
BeeP-11-2013_NODE_233_length_4667_cov_16_196078,Low coverage
BeeP-11-2013_NODE_234_length_4658_cov_19_071164,Low coverage
BeeP-11-2013_NODE_235_length_4632_cov_13_017783,Low coverage
BeeP-11-2013_NODE_236_length_4621_cov_22_993618,Low coverage
BeeP-11-2013_NODE_238_length_4601_cov_8_117595,Low coverage
BeeP-11-2013_NODE_239_length_4596_cov_108_480859,Low coverage
BeeP-11-2013_NODE_241_length_4536_cov_29_434178,Low coverage
BeeP-11-2013_NODE_242_length_4515_cov_13_675304,Low coverage
BeeP-11-2013_NODE_243_length_4505_cov_8_633017,Low coverage
BeeP-11-2013_NODE_244_length_4494_cov_42_979851,Low coverage
BeeP-11-2013_NODE_245_length_4484_cov_18_026776,Low coverage
BeeP-11-2013_NODE_247_length_4461_cov_6_455064,Low coverage
BeeP-11-2013_NODE_248_length_4457_cov_38_590639,Low coverage
BeeP-11-2013_NODE_251_length_4443_cov_9_824095,Low coverage
BeeP-11-2013_NODE_252_length_4440_cov_11_130186,Low coverage
BeeP-11-2013_NODE_253_length_4434_cov_17_625430,High coverage
BeeP-11-2013_NODE_255_length_4427_cov_17_496322,Low coverage
BeeP-11-2013_NODE_258_length_4337_cov_5_784977,Low coverage
BeeP-11-2013_NODE_259_length_4335_cov_197_916862,Low coverage
BeeP-11-2013_NODE_260_length_4312_cov_11_242031,Low coverage
BeeP-11-2013_NODE_261_length_4306_cov_21_204304,High coverage
BeeP-11-2013_NODE_263_length_4245_cov_13_612044,Low coverage
BeeP-11-2013_NODE_264_length_4230_cov_5_785456,Low coverage
BeeP-11-2013_NODE_268_length_4192_cov_15_722965,Low coverage
BeeP-11-2013_NODE_269_length_4188_cov_5_423741,Low coverage
BeeP-11-2013_NODE_270_length_4186_cov_41_436359,Low coverage
BeeP-11-2013_NODE_273_length_4174_cov_9_071516,Low coverage
BeeP-11-2013_NODE_275_length_4111_cov_24_470501,Low coverage
BeeP-11-2013_NODE_276_length_4107_cov_13_780149,Low coverage
BeeP-11-2013_NODE_277_length_4106_cov_6_494912,Low coverage
BeeP-11-2013_NODE_278_length_4105_cov_33_815293,Low coverage
BeeP-11-2013_NODE_279_length_4104_cov_5_619071,Low coverage
BeeP-11-2013_NODE_280_length_4089_cov_7_977069,Low coverage
BeeP-11-2013_NODE_281_length_4087_cov_11_438653,Low coverage
BeeP-11-2013_NODE_282_length_4072_cov_19_090363,Low coverage
BeeP-11-2013_NODE_283_length_4057_cov_5_905025,Low coverage
BeeP-11-2013_NODE_284_length_4049_cov_9_176737,Low coverage
BeeP-11-2013_NODE_285_length_4040_cov_8_506939,Low coverage
BeeP-11-2013_NODE_286_length_4038_cov_13_989397,Low coverage
BeeP-11-2013_NODE_287_length_4028_cov_7_917236,Low coverage
BeeP-11-2013_NODE_288_length_4023_cov_5_713381,Low coverage
BeeP-11-2013_NODE_292_length_3991_cov_12_126725,Low coverage
BeeP-11-2013_NODE_293_length_3988_cov_10_570187,Low coverage
